,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
22,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.83,8.18,1.63,52.43,10.03,0.13,18.61,1.63,0.23,0.31,2071,2482,493,15900,3042,38,5645,494,69,93,82.83,38386,31796,3.69,0.06,0.87,1173.0,18.0,278.0,BUENOS AIRES
23,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.11,12.64,1.52,34.59,12.64,0.81,26.16,2.93,0.21,0.39,1628,2539,305,6946,2538,162,5252,589,42,79,78.58,28720,22568,10.52,0.06,0.44,2375.0,13.0,100.0,BUENOS AIRES
24,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.27,6.18,1.57,58.46,10.0,0.92,15.99,2.12,0.2,0.28,1769,2561,649,24209,4142,382,6623,878,81,118,83.68,51577,43159,3.55,0.02,0.47,1534.0,10.0,203.0,BUENOS AIRES
25,BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.32,15.97,0.73,50.36,14.39,0.4,8.83,3.67,0.1,0.23,766,2298,105,7249,2071,58,1271,528,14,33,81.74,19101,15614,7.41,0.02,0.39,1157.0,3.0,61.0,BUENOS AIRES
26,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.66,7.43,0.67,38.81,10.76,0.37,32.86,3.08,0.1,0.27,549,721,65,3767,1044,36,3189,299,10,26,82.87,13407,11110,12.29,0.13,0.23,1365.0,14.0,25.0,BUENOS AIRES
27,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.96,5.01,1.55,43.85,15.0,0.51,22.34,3.82,0.29,0.66,950,683,211,5983,2047,70,3048,521,40,90,79.52,19313,15357,10.43,0.05,0.68,1602.0,8.0,104.0,BUENOS AIRES
28,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,14.65,10.58,1.55,39.87,16.18,0.45,10.61,5.22,0.21,0.67,4670,3372,495,12709,5157,144,3382,1663,67,214,75.28,46248,34817,6.85,0.06,1.55,2385.0,20.0,539.0,BUENOS AIRES
29,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.41,5.96,1.94,46.81,14.44,0.49,17.33,5.93,0.24,0.44,1453,1352,440,10611,3272,112,3929,1343,55,99,82.88,31831,26382,8.02,4.53,1.53,2117.0,1196.0,403.0,BUENOS AIRES
30,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.93,4.26,0.82,38.15,18.98,0.21,28.51,4.4,0.38,0.38,417,452,87,4048,2014,22,3025,467,40,40,84.74,13358,11319,5.54,0.07,0.64,627.0,8.0,72.0,BUENOS AIRES
31,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.67,6.45,1.02,48.29,14.72,0.52,11.04,16.88,0.19,0.22,107,1028,162,7700,2347,83,1760,2692,30,35,81.5,21596,17601,8.52,0.03,0.86,1499.0,6.0,152.0,BUENOS AIRES
37,BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.27,3.86,0.77,46.97,2.63,0.02,33.99,7.09,0.15,0.24,250,226,45,2748,154,1,1989,415,9,14,85.46,7166,6124,3.94,0.02,0.51,241.0,1.0,31.0,BUENOS AIRES
39,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.08,9.13,1.89,50.16,12.1,0.44,16.7,2.9,0.2,0.39,1403,2106,436,11568,2791,101,3852,669,45,90,77.97,31146,24286,4.08,0.09,0.88,990.0,21.0,214.0,BUENOS AIRES
40,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.39,3.84,0.35,40.86,21.84,2.63,25.49,1.99,0.1,0.52,138,222,20,2363,1263,152,1474,115,6,30,81.34,7710,6271,7.67,0.05,0.06,481.0,3.0,4.0,BUENOS AIRES
41,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.44,6.81,0.66,38.69,20.58,0.28,22.26,2.99,0.08,0.21,783,717,69,4074,2167,30,2344,315,8,22,83.01,13341,11074,4.76,0.02,0.14,527.0,2.0,16.0,BUENOS AIRES
42,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.24,7.07,1.12,48.24,18.78,0.06,18.13,1.97,0.14,0.25,450,750,119,5117,1992,6,1923,209,15,26,84.86,13924,11816,9.88,0.02,0.33,1168.0,2.0,39.0,BUENOS AIRES
43,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.01,2.21,0.5,42.79,9.49,0.05,37.87,4.87,0.1,0.1,40,44,10,852,189,1,754,97,2,2,88.33,2408,2127,5.88,0.0,0.52,125.0,0.0,11.0,BUENOS AIRES
44,BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.54,3.93,0.71,47.75,12.37,0.51,28.32,1.82,0.09,1.95,168,260,47,3157,818,34,1872,120,6,129,81.4,8692,7075,5.5,0.04,1.02,389.0,3.0,72.0,BUENOS AIRES
45,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.78,1.26,0.72,47.07,11.49,0.17,35.33,0.88,0.13,0.17,66,30,17,1118,273,4,839,21,3,4,84.58,2950,2495,4.45,0.04,0.32,111.0,1.0,8.0,BUENOS AIRES
46,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.42,4.78,1.23,48.4,11.15,0.15,23.4,2.88,0.21,0.39,865,557,143,5645,1300,18,2729,336,24,46,80.58,15597,12568,6.93,0.02,0.25,871.0,2.0,32.0,BUENOS AIRES
47,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.22,7.32,0.9,43.03,21.47,0.11,17.73,1.63,0.21,0.39,523,530,65,3116,1555,8,1284,118,15,28,85.75,9207,7895,8.04,0.05,0.18,635.0,4.0,14.0,BUENOS AIRES
48,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.08,5.23,0.84,49.5,17.89,0.32,14.15,6.54,0.14,0.32,369,380,61,3596,1300,23,1028,475,10,23,86.63,8910,7719,5.0,0.0,0.88,386.0,0.0,68.0,BUENOS AIRES
49,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.99,10.81,2.97,49.7,12.85,0.99,10.51,4.47,0.32,0.38,22087,34143,9395,156988,40596,3120,33210,14130,1010,1191,68.28,498700,340535,5.44,0.37,1.43,18515.0,1265.0,4885.0,BUENOS AIRES
52,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.28,5.65,0.95,47.9,13.34,0.25,20.22,3.97,0.1,0.34,766,595,100,5042,1404,26,2128,418,11,36,80.51,14806,11921,10.87,0.13,0.7,1296.0,15.0,84.0,BUENOS AIRES
53,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.66,7.71,0.61,43.45,11.77,0.37,23.04,2.68,0.24,0.46,1599,1276,101,7191,1948,61,3813,444,40,76,80.22,22452,18010,7.42,0.06,0.64,1336.0,10.0,115.0,BUENOS AIRES
54,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.57,7.7,1.48,53.23,12.62,0.34,14.24,3.26,0.21,0.34,443,519,100,3589,851,23,960,220,14,23,81.76,9932,8120,16.43,0.0,0.54,1334.0,0.0,44.0,BUENOS AIRES
55,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.06,6.51,0.78,38.39,18.86,0.19,28.26,2.59,0.19,0.16,251,402,48,2372,1165,12,1746,160,12,10,73.98,9108,6738,8.19,0.01,0.1,552.0,1.0,7.0,BUENOS AIRES
56,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.5,17.96,0.84,38.37,20.65,0.46,12.49,4.0,0.22,0.5,224,894,42,1910,1028,23,622,199,11,25,75.79,7538,5713,12.18,0.05,0.63,696.0,3.0,36.0,BUENOS AIRES
60,BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.49,6.19,1.3,49.5,11.72,0.29,25.24,1.87,0.15,0.25,424,753,158,6020,1425,35,3070,228,18,30,82.67,16252,13435,8.34,0.05,1.09,1121.0,7.0,146.0,BUENOS AIRES
61,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.36,9.99,2.27,43.14,13.33,0.69,14.28,5.24,0.23,0.47,5538,5336,1215,23053,7124,370,7631,2798,125,250,79.12,73542,58184,6.74,0.3,1.11,3920.0,176.0,648.0,BUENOS AIRES
62,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.91,6.36,2.31,52.76,13.56,0.12,20.58,2.69,0.31,0.41,333,2327,845,19300,4962,43,7528,983,112,150,74.84,52620,39379,5.85,0.09,1.16,2305.0,36.0,455.0,BUENOS AIRES
65,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.04,4.18,1.8,50.79,12.83,0.36,26.59,1.21,0.06,0.15,135,277,119,3366,850,24,1762,80,4,10,82.58,8354,6899,3.62,0.09,0.23,250.0,6.0,16.0,BUENOS AIRES
66,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.42,8.77,1.01,59.75,10.49,0.14,11.86,2.85,0.25,0.47,588,1166,134,7948,1396,19,1577,379,33,62,79.76,19587,15622,6.73,0.08,8.03,1052.0,13.0,1255.0,BUENOS AIRES
68,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.1,5.82,1.01,50.59,15.61,0.03,15.91,2.16,0.34,0.43,878,631,109,5483,1692,3,1725,234,37,47,84.62,13622,11527,5.59,0.0,0.38,644.0,0.0,44.0,BUENOS AIRES
69,BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.27,9.33,0.85,48.64,20.59,0.07,11.23,2.43,0.16,0.43,191,284,26,1481,627,2,342,74,5,13,84.89,4336,3681,16.68,0.05,0.54,614.0,2.0,20.0,BUENOS AIRES
70,BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.31,6.98,1.33,39.8,20.1,0.46,19.91,4.24,0.25,0.61,1675,1852,352,10561,5334,121,5284,1125,66,163,83.22,34311,28555,6.69,0.02,0.37,1909.0,7.0,106.0,BUENOS AIRES
71,BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.5,4.36,0.72,45.29,15.28,0.01,28.02,1.37,0.21,0.24,498,482,80,5007,1689,1,3098,151,23,26,85.13,13717,11677,4.64,0.06,0.63,542.0,7.0,73.0,BUENOS AIRES
72,BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.98,7.56,1.75,47.33,17.03,0.65,20.21,3.69,0.31,0.5,205,1582,366,9904,3563,135,4228,772,65,105,84.04,27338,22976,8.48,0.01,0.44,1949.0,2.0,100.0,BUENOS AIRES
75,BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.77,4.53,1.26,43.57,15.37,0.63,24.24,1.91,0.26,0.46,763,445,124,4280,1510,62,2381,188,26,45,79.55,13264,10552,6.43,0.08,0.39,679.0,8.0,41.0,BUENOS AIRES
76,BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.44,4.36,1.07,40.97,8.35,0.0,37.49,3.84,0.09,0.39,237,301,74,2826,576,0,2586,265,6,27,80.8,9030,7296,5.18,0.03,0.25,378.0,2.0,18.0,BUENOS AIRES
78,BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.58,4.73,1.27,51.3,13.61,1.25,19.55,2.25,0.25,0.21,755,641,172,6946,1842,169,2647,304,34,29,77.28,18447,14256,4.43,0.05,0.55,631.0,7.0,79.0,BUENOS AIRES
81,BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.1,8.28,2.85,48.46,15.54,0.92,9.25,4.11,0.21,0.27,3750,3076,1060,17995,5771,342,3436,1527,79,99,81.63,48843,39870,5.8,0.08,0.98,2314.0,31.0,390.0,BUENOS AIRES
83,BUENOS AIRES_MONTE,"Monte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.61,5.85,0.98,46.03,19.12,0.77,20.33,2.52,0.22,0.57,428,693,116,5453,2265,91,2408,299,26,68,81.4,15643,12734,6.15,0.07,0.75,783.0,9.0,95.0,BUENOS AIRES
84,BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.49,4.29,1.79,49.51,21.09,0.35,14.23,2.97,0.09,0.19,233,182,76,2101,895,15,604,126,4,8,77.6,5844,4535,5.6,0.04,0.77,254.0,2.0,35.0,BUENOS AIRES
87,BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.2,3.57,0.63,45.71,19.02,0.23,21.7,2.33,0.22,0.4,572,329,58,4215,1754,21,2001,215,20,37,81.88,12668,10372,10.45,0.02,0.62,1084.0,2.0,64.0,BUENOS AIRES
88,BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.17,7.16,1.33,40.97,26.61,0.36,14.63,3.06,0.23,0.48,2783,3849,716,22034,14310,193,7871,1645,126,256,77.84,76218,59325,7.16,0.71,1.47,4248.0,424.0,870.0,BUENOS AIRES
89,BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.13,7.07,1.15,40.74,20.59,0.69,21.28,2.73,0.21,0.41,1520,2093,341,12067,6098,203,6303,809,62,120,82.58,38222,31564,5.31,0.04,0.82,1676.0,14.0,258.0,BUENOS AIRES
90,BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.92,6.44,2.02,54.06,12.45,0.73,11.41,4.06,0.51,0.4,4908,3991,1255,33511,7719,452,7071,2519,318,248,78.35,85848,67262,6.99,0.04,0.8,4703.0,28.0,539.0,BUENOS AIRES
91,BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.14,4.39,0.99,50.73,15.23,0.6,20.84,2.13,0.31,0.63,679,720,162,8313,2496,99,3415,349,51,104,77.98,22883,17845,7.26,0.12,0.78,1296.0,22.0,139.0,BUENOS AIRES
92,BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.13,7.23,1.28,50.75,18.53,0.63,15.61,3.17,0.24,0.42,472,1601,283,11239,4104,140,3456,703,53,94,76.46,31429,24031,6.5,0.07,1.28,1562.0,17.0,307.0,BUENOS AIRES
93,BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.26,3.86,0.0,38.91,14.32,0.37,33.52,2.25,0.05,0.48,237,146,0,1473,542,14,1269,85,2,18,84.05,4815,4047,6.08,0.02,0.35,246.0,1.0,14.0,BUENOS AIRES
94,BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.23,14.49,1.28,39.11,17.44,0.66,14.36,3.96,0.22,0.25,4900,8629,764,23298,10389,394,8556,2361,129,149,77.97,81890,63848,5.5,0.05,1.15,3513.0,30.0,736.0,BUENOS AIRES
95,BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.87,3.46,0.74,45.76,22.0,0.18,22.05,1.48,0.18,0.28,84,75,16,992,477,4,478,32,4,6,83.12,2791,2320,6.29,0.0,0.26,146.0,0.0,6.0,BUENOS AIRES
97,BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.39,9.14,1.59,44.86,16.34,1.23,14.54,3.37,0.23,0.3,1049,1143,199,5610,2043,154,1818,422,29,38,71.97,18688,13450,5.67,0.05,1.31,762.0,7.0,176.0,BUENOS AIRES
99,BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,5.67,10.67,0.87,29.35,12.91,0.34,34.9,4.81,0.17,0.3,606,1140,93,3135,1379,36,3728,514,18,32,78.34,14548,11397,5.62,0.0,0.67,640.0,0.0,76.0,BUENOS AIRES
100,BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.07,6.42,1.45,43.49,20.26,0.59,24.54,2.24,0.43,0.52,4,359,81,2432,1133,33,1372,125,24,29,77.52,7982,6188,9.1,0.02,0.52,563.0,1.0,32.0,BUENOS AIRES
102,BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.32,14.4,1.01,46.47,10.49,0.44,22.62,3.72,0.18,0.35,60,2729,191,8807,1988,83,4287,705,35,66,83.99,24371,20470,7.19,0.01,0.22,1471.0,2.0,46.0,BUENOS AIRES
103,BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.79,5.76,1.28,45.18,12.18,0.05,28.87,3.39,0.21,0.29,279,575,128,4511,1216,5,2883,338,21,29,87.66,12488,10947,8.5,0.05,0.24,930.0,6.0,26.0,BUENOS AIRES
104,BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.22,22.12,0.58,33.6,23.2,0.23,8.65,3.12,0.22,1.06,620,1901,50,2887,1994,20,743,268,19,91,80.47,12661,10188,15.22,0.02,0.41,1551.0,2.0,42.0,BUENOS AIRES
105,BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.61,12.39,1.38,35.94,20.72,0.34,20.64,2.53,0.25,0.21,780,1724,192,5001,2883,47,2872,352,35,29,83.52,19318,16135,12.8,0.02,0.94,2065.0,4.0,151.0,BUENOS AIRES
106,BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.3,4.05,0.59,50.28,17.26,0.06,15.3,7.75,0.16,0.25,277,261,38,3237,1111,4,985,499,10,16,77.8,9240,7189,9.67,0.03,0.75,695.0,2.0,54.0,BUENOS AIRES
107,BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.21,12.56,1.14,40.02,12.48,0.36,20.2,7.42,0.23,0.4,642,1549,141,4936,1539,44,2491,915,28,49,76.7,17299,13268,5.89,0.04,1.12,781.0,5.0,148.0,BUENOS AIRES
108,BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.28,6.87,1.34,37.02,21.07,0.11,26.77,2.94,0.2,0.4,609,1275,248,6871,3911,21,4969,546,38,74,82.82,25057,20751,9.57,0.06,0.92,1986.0,12.0,191.0,BUENOS AIRES
