,distrito_nombre1,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,CUYO,54.39,45.61,975252,817666,0.98,0.07,1.56,18043,1336,28712,2246976,1841009,81.93
1,RESTO DEL PAIS,51.17,48.83,11928049,11380775,1.2,0.05,1.21,287186,12047,289494,29573963,23897551,80.81
