,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
502,502,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",UNION POR LA PATRIA,0.52,0.09,0.15,0.96,8.65,30.56,0.28,0.18,0.2,1.21,0.24,0.0,0.01,0.0,56.95,135.0,24.0,38.0,251.0,2257.0,7971.0,72.0,47.0,53.0,316.0,63.0,1.0,2.0,0.0,14853.0,64.96,41526,26976,2.56,0.15,0.6,690,40,SANTIAGO DEL ESTERO
503,503,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",UNION POR LA PATRIA,0.61,0.0,0.23,1.27,6.04,19.3,0.33,0.1,0.23,0.42,0.21,0.0,0.0,0.0,71.26,29.0,0.0,11.0,61.0,289.0,924.0,16.0,5.0,11.0,20.0,10.0,0.0,0.0,0.0,3412.0,61.37,8048,4939,2.57,0.22,0.26,127,11,SANTIAGO DEL ESTERO
504,504,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",UNION POR LA PATRIA,0.34,0.0,0.1,1.16,3.91,12.69,0.12,0.07,0.22,0.27,0.05,0.0,0.0,0.0,81.07,14.0,0.0,4.0,47.0,159.0,516.0,5.0,3.0,9.0,11.0,2.0,0.0,0.0,0.0,3297.0,51.56,8036,4143,1.4,0.12,0.31,58,5,SANTIAGO DEL ESTERO
505,505,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",UNION POR LA PATRIA,0.24,0.0,0.05,0.62,6.67,15.79,0.48,0.0,0.05,5.33,0.0,0.0,0.05,0.0,70.73,5.0,0.0,1.0,13.0,139.0,329.0,10.0,0.0,1.0,111.0,0.0,0.0,1.0,0.0,1474.0,64.36,3342,2151,2.42,0.42,0.28,52,9,SANTIAGO DEL ESTERO
506,506,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",UNION POR LA PATRIA,0.4,0.0,0.11,0.75,5.8,15.58,0.26,0.09,0.19,1.15,0.04,0.0,0.0,0.0,75.62,21.0,0.0,6.0,40.0,308.0,827.0,14.0,5.0,10.0,61.0,2.0,0.0,0.0,0.0,4014.0,68.9,7930,5464,2.45,0.16,0.24,134,9,SANTIAGO DEL ESTERO
511,511,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",UNION POR LA PATRIA,2.24,0.11,0.39,0.81,11.9,29.13,0.38,0.26,0.35,1.56,0.14,0.07,0.0,0.03,52.63,577.0,29.0,101.0,208.0,3065.0,7501.0,98.0,66.0,90.0,401.0,37.0,18.0,1.0,8.0,13552.0,69.15,38497,26619,2.72,0.16,0.38,723,43,TUCUMAN
512,512,TUCUMAN_CAPITAL,"Capital, Tucuman",LA LIBERTAD AVANZA,2.2,0.11,0.29,1.24,29.93,38.12,0.31,0.21,0.35,2.97,0.41,0.33,0.01,0.0,23.53,6942.0,349.0,902.0,3907.0,94634.0,120529.0,969.0,650.0,1096.0,9393.0,1309.0,1045.0,28.0,1.0,74401.0,72.29,460824,333139,3.55,0.13,1.42,11814,435,TUCUMAN
513,513,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",LA LIBERTAD AVANZA,0.8,0.0,0.33,1.62,20.32,38.48,0.31,0.22,0.35,0.84,0.18,0.07,0.0,0.02,36.46,402.0,0.0,166.0,809.0,10152.0,19224.0,153.0,109.0,174.0,419.0,91.0,34.0,0.0,9.0,18212.0,73.4,70673,51871,2.62,0.12,0.96,1359,61,TUCUMAN
514,514,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",LA LIBERTAD AVANZA,2.48,0.06,0.31,0.93,14.68,39.72,0.32,0.23,0.27,1.41,0.52,0.12,0.0,0.01,38.93,3063.0,71.0,383.0,1147.0,18111.0,49003.0,391.0,280.0,330.0,1745.0,646.0,152.0,3.0,8.0,48031.0,73.96,174245,128874,2.98,0.14,1.16,3837,182,TUCUMAN
515,515,TUCUMAN_FAMAILLA,"Famailla, Tucuman",LA LIBERTAD AVANZA,1.0,0.0,0.27,1.1,12.69,43.49,0.41,0.25,0.36,0.62,0.25,0.01,0.0,0.0,39.54,224.0,1.0,61.0,248.0,2853.0,9781.0,92.0,57.0,81.0,139.0,57.0,2.0,0.0,0.0,8893.0,71.64,32845,23530,3.42,0.11,0.9,804,25,TUCUMAN
