elecciones,METROPOLITANA,RESTO DEL PAIS,tipovoto
PASO 2011,0.89,1.36,VOTO NULO
GENERALES 2011,0.68,1.06,VOTO NULO
PASO 2015,0.71,1.27,VOTO NULO
GENERALES 2015,0.57,0.85,VOTO NULO
BALLOTAGE 2015,1.17,1.27,VOTO NULO
PASO 2019,0.71,1.49,VOTO NULO
GENERALES 2019,0.64,1,VOTO NULO
PASO 2023,0.83,1.43,VOTO NULO
GENERALES 2023,0.64,0.93,VOTO NULO
BALLOTAGE 2023,1.41,1.75,VOTO NULO
