,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA FRENTE POPULAR                                                                              _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,MOVIMIENTO AL SOCIALISMO                                                                            _perc,MOVIMIENTO DE ACCION VECINAL                                                                        _perc,MST - NUEVA IZQUIERDA                                                                               _perc,PARTIDO POPULAR                                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA FRENTE POPULAR                                                                              _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,MOVIMIENTO AL SOCIALISMO                                                                            _votos,MOVIMIENTO DE ACCION VECINAL                                                                        _votos,MST - NUEVA IZQUIERDA                                                                               _votos,PARTIDO POPULAR                                                                                     _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PAMPEANA,35.53,2.18,2.63,28.51,0.48,4.11,25.22,0.42,0.19,0.41,0.33,2348182,143789,174015,1884693,31441,271935,1667166,27470,12683,26905,21552,4.74,0.11,1.31,334181,7690,91988,9866633,7043690,71.39
1,RESTO DEL PAIS,27.71,2.08,3.6,42.67,0.51,3.25,18.65,0.49,0.19,0.45,0.4,4247732,318515,552039,6540056,77700,497381,2858331,75499,28531,69509,61348,4.06,0.13,0.97,655642,21752,156299,22057331,16160334,73.27
