,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
16,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.83,1.19,33.75,1.68,8.25,21.83,0.33,0.11,0.06,0.31,2481,65,93,2644,132,646,1710,26,9,5,24,72.61,12004,8716,9.81,0.0,0.3,855,0,26,BUENOS AIRES
17,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",ALIANZA CAMBIEMOS,40.9,1.32,1.76,37.46,0.18,4.06,13.31,0.26,0.2,0.21,0.33,5413,175,233,4958,24,537,1762,34,26,28,44,74.36,18732,13930,4.84,0.02,0.14,674,3,19,BUENOS AIRES
18,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",ALIANZA CAMBIEMOS,43.91,0.45,2.73,37.54,0.04,1.74,13.16,0.19,0.09,0.06,0.09,3430,35,213,2933,3,136,1028,15,7,5,7,84.1,9841,8276,5.27,0.0,0.34,436,0,28,BUENOS AIRES
19,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.4,0.79,0.71,45.18,0.12,1.39,16.99,0.11,0.07,0.11,0.14,2877,66,59,3779,10,116,1421,9,6,9,12,71.9,12471,8967,6.56,0.01,0.16,588,1,14,BUENOS AIRES
20,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.26,0.26,2.25,48.17,0.17,1.81,7.67,0.15,0.09,0.06,0.11,2079,14,119,2551,9,96,406,8,5,3,6,76.9,7356,5657,5.71,0.05,0.62,323,3,35,BUENOS AIRES
22,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.69,1.53,1.5,41.22,0.23,4.93,13.49,0.81,0.14,0.24,0.22,10116,434,425,11682,66,1396,3823,229,41,68,61,75.22,39558,29755,3.86,0.03,0.85,1150,10,254,BUENOS AIRES
23,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA CAMBIEMOS,38.58,0.7,2.39,27.03,0.85,5.08,24.43,0.38,0.12,0.24,0.2,8217,149,510,5756,180,1083,5204,80,25,51,43,77.31,30684,23723,9.8,0.03,0.4,2324,7,94,BUENOS AIRES
24,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.13,0.95,2.3,37.44,0.7,2.79,27.6,0.44,0.17,0.25,0.23,11013,387,933,15198,284,1134,11203,180,68,100,92,77.16,55776,43038,5.29,0.03,0.36,2276,15,155,BUENOS AIRES
25,BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.58,1.28,2.07,44.16,0.52,7.09,12.72,0.14,0.1,0.18,0.16,4480,182,294,6265,74,1006,1805,20,14,25,22,74.41,20081,14943,4.59,0.03,0.43,686,5,65,BUENOS AIRES
26,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA CAMBIEMOS,44.38,0.89,1.59,32.23,0.24,4.73,15.01,0.34,0.2,0.14,0.25,4036,81,145,2931,22,430,1365,31,18,13,23,77.15,13266,10235,10.65,0.01,0.48,1090,1,49,BUENOS AIRES
27,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA CAMBIEMOS,51.47,0.85,1.95,28.94,0.19,3.69,11.92,0.22,0.16,0.13,0.47,7270,120,275,4088,27,521,1684,31,23,19,67,78.54,19951,15669,9.52,0.01,0.33,1491,2,51,BUENOS AIRES
28,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA CAMBIEMOS,42.12,2.02,2.17,24.04,1.09,5.83,21.37,0.6,0.17,0.29,0.3,14196,681,732,8100,369,1964,7201,202,56,97,102,75.56,47008,35521,4.25,0.02,0.85,1511,8,302,BUENOS AIRES
29,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA CAMBIEMOS,43.61,1.1,2.61,28.01,0.76,3.49,18.82,0.68,0.42,0.17,0.35,10222,257,612,6565,178,817,4412,159,99,39,82,80.22,32016,25682,7.59,0.02,1.11,1949,6,285,BUENOS AIRES
30,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA CAMBIEMOS,47.88,0.51,0.78,36.03,0.1,1.33,12.84,0.16,0.11,0.08,0.17,5042,54,82,3794,11,140,1352,17,12,8,18,81.23,13875,11270,6.02,0.04,0.51,678,5,57,BUENOS AIRES
