,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,agrupacion,votos,Porcentaje,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion,id
0,AMBA,48.09,51.91,4362008,4708525,UNION POR LA PATRIA,4708525,51.91,1.99,0.06,1.41,186838,5939,132149,12288455,9395459,76.46,b23
1,INTERIOR,59.77,40.23,10114454,6807617,LA LIBERTAD AVANZA,10114454,59.77,1.32,0.05,1.75,230677,8507,306532,23131829,17467787,75.51,b23
