,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
5,5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,41.1,58.9,140441,201239,77.27,455938,352282,1.59,0.05,1.37,5584,176
7,7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,42.4,57.6,93523,127060,77.5,294279,228075,2.11,0.08,1.1,4802,182
14,14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,44.25,55.75,94066,118509,79.9,273700,218694,1.72,0.02,1.06,3754,54
15,15,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,43.57,56.43,27083,35082,78.05,82226,64176,2.18,0.06,0.9,1396,38
18,18,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",LA LIBERTAD AVANZA,54.97,45.03,10880,8913,77.07,26518,20437,1.4,0.12,1.63,286,25
19,19,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",LA LIBERTAD AVANZA,52.43,47.57,33680,30564,76.39,86786,66292,1.49,0.04,1.56,985,29
25,25,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",LA LIBERTAD AVANZA,51.38,48.62,19668,18612,76.52,51408,39337,1.68,0.06,0.95,661,22
36,36,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,37.8,62.2,16605,27325,77.62,58246,45213,2.06,0.07,0.71,931,31
37,37,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",LA LIBERTAD AVANZA,52.39,47.61,77235,70177,76.85,197184,151541,1.54,0.12,1.07,2327,180
38,38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,46.89,53.11,84988,96277,77.93,240100,187100,1.57,0.06,1.49,2932,117
39,39,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",LA LIBERTAD AVANZA,59.69,40.31,14489,9784,76.84,32463,24943,1.21,0.01,1.47,301,2
40,40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,48.1,51.9,52981,57175,78.92,142980,112840,1.62,0.02,0.73,1832,28
