elecciones,PAMPEANA,RESTO DEL PAIS,tipovoto
PASO 2011,1.26,1.15,VOTO NULO
GENERALES 2011,0.89,0.94,VOTO NULO
PASO 2015,1.31,0.97,VOTO NULO
GENERALES 2015,0.82,0.71,VOTO NULO
BALLOTAGE 2015,1.35,1.19,VOTO NULO
PASO 2019,1.54,1.07,VOTO NULO
GENERALES 2019,0.98,0.82,VOTO NULO
PASO 2023,1.48,1.11,VOTO NULO
GENERALES 2023,0.9,0.8,VOTO NULO
BALLOTAGE 2023,1.96,1.49,VOTO NULO
