,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,CUYO,68.08,31.92,1268571,594906,1.37,0.08,1.97,26432,1461,37918,2523345,1929288,76.46
1,RESTO DEL PAIS,54.74,45.26,13207891,10921236,1.57,0.05,1.61,391083,12985,400763,32896939,24933958,75.79
