,distrito_nombre1,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PAMPEANA,6.63,1.74,39.24,1.43,49.43,1.53,526135,137825,3116269,113894,3924765,121839,1.37,0.1,0.98,111781,8030,80035,10144997,8140573,80.24
1,RESTO DEL PAIS,5.97,2.35,52.01,1.83,36.38,1.45,1073572,423389,9357440,329613,6545842,260981,1.56,0.13,0.82,287970,23950,152173,22742803,18454930,81.15
