,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
176,176,CHUBUT_BIEDMA,"Biedma, Chubut",LA LIBERTAD AVANZA,4.95,7.66,17.43,39.62,30.33,2873,4440,10109,22973,17589,76.63,77871,59674,0.97,0.08,1.77,581,50,CHUBUT
177,177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",UNION POR LA PATRIA,5.23,4.5,18.45,25.26,46.56,929,800,3279,4488,8274,72.98,25257,18433,1.67,0.04,1.88,308,8,CHUBUT
178,178,CHUBUT_ESCALANTE,"Escalante, Chubut",LA LIBERTAD AVANZA,3.84,7.4,20.68,35.46,32.62,4694,9047,25295,43371,39886,74.78,168174,125762,1.15,0.18,1.42,1447,230,CHUBUT
179,179,CHUBUT_FLORENTINO AMEGHINO,"Florentino Ameghino, Chubut",LA LIBERTAD AVANZA,3.2,7.02,14.55,41.9,33.33,31,68,141,406,323,64.93,1520,987,1.22,0.0,0.61,12,0,CHUBUT
180,180,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",UNION POR LA PATRIA,4.85,8.01,23.0,30.88,33.26,1427,2356,6769,9087,9789,72.71,41937,30492,1.92,0.06,1.51,586,18,CHUBUT
181,181,CHUBUT_GAIMAN,"Gaiman, Chubut",LA LIBERTAD AVANZA,3.52,7.05,23.05,39.22,27.15,274,549,1795,3054,2114,75.11,10641,7992,1.23,0.1,1.25,98,8,CHUBUT
182,182,CHUBUT_GASTRE,"Gastre, Chubut",UNION POR LA PATRIA,2.94,6.8,14.34,34.74,41.18,16,37,78,189,224,50.0,1132,566,1.77,0.0,2.12,10,0,CHUBUT
183,183,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",UNION POR LA PATRIA,3.61,7.1,18.33,29.57,41.4,61,120,310,500,700,64.31,2740,1762,2.67,0.0,1.36,47,0,CHUBUT
184,184,CHUBUT_MARTIRES,"Martires, Chubut",LA LIBERTAD AVANZA,1.89,7.55,20.22,35.85,34.5,7,28,75,133,128,58.11,647,376,0.53,0.0,0.8,2,0,CHUBUT
185,185,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",UNION POR LA PATRIA,1.52,4.86,22.7,30.5,40.43,15,48,224,301,399,61.13,1639,1002,1.0,0.0,0.5,10,0,CHUBUT
186,186,CHUBUT_RAWSON,"Rawson, Chubut",LA LIBERTAD AVANZA,4.91,9.25,21.89,34.39,29.56,4354,8200,19405,30486,26207,75.79,120357,91213,1.17,0.08,1.56,1067,71,CHUBUT
187,187,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",UNION POR LA PATRIA,2.7,3.87,25.12,30.5,37.81,88,126,818,993,1231,65.65,5261,3454,4.83,0.06,0.84,167,2,CHUBUT
188,188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",LA LIBERTAD AVANZA,2.88,6.63,19.04,40.34,31.12,223,513,1474,3123,2409,72.32,10999,7954,1.22,0.1,1.35,97,8,CHUBUT
189,189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",UNION POR LA PATRIA,2.81,4.86,23.59,29.95,38.78,92,159,772,980,1269,66.16,5103,3376,1.75,0.03,1.3,59,1,CHUBUT
190,190,CHUBUT_TELSEN,"Telsen, Chubut",UNION POR LA PATRIA,4.96,8.36,22.58,27.81,36.29,38,64,173,213,278,54.95,1423,782,1.41,0.0,0.64,11,0,CHUBUT
374,374,NEUQUEN_ALUMINE,"Alumine, Neuquen",UNION POR LA PATRIA,4.46,7.19,17.15,31.76,39.45,274,442,1054,1952,2425,77.17,8566,6610,5.1,0.15,1.75,337,10,NEUQUEN
375,375,NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,2.58,3.88,9.19,48.96,35.39,291,437,1035,5513,3985,74.6,15809,11794,2.81,0.19,1.53,331,22,NEUQUEN
376,376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",UNION POR LA PATRIA,4.77,7.63,12.49,17.45,57.67,50,80,131,183,605,72.55,1610,1168,9.5,0.0,0.68,111,0,NEUQUEN
377,377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",UNION POR LA PATRIA,4.08,7.53,22.02,30.44,35.92,404,745,2178,3011,3553,75.09,13976,10494,4.38,0.08,1.29,460,8,NEUQUEN
378,378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",UNION POR LA PATRIA,3.1,8.56,17.43,32.46,38.45,88,243,495,922,1092,75.57,4032,3047,5.28,0.03,1.48,161,1,NEUQUEN
379,379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,5.47,5.7,20.84,36.66,31.33,15565,16202,59268,104272,89099,81.64,361411,295073,1.99,0.11,1.51,5871,330,NEUQUEN
380,380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",UNION POR LA PATRIA,5.11,7.14,20.54,30.34,36.87,585,817,2352,3474,4222,79.01,15405,12171,4.09,0.04,1.79,498,5,NEUQUEN
381,381,NEUQUEN_LACAR,"Lacar, Neuquen",LA LIBERTAD AVANZA,5.26,6.27,28.2,34.58,25.69,1245,1484,6674,8185,6080,74.24,33316,24734,2.15,0.06,2.09,533,15,NEUQUEN
382,382,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",UNION POR LA PATRIA,3.34,7.44,14.84,32.77,41.61,148,330,658,1453,1845,82.57,5927,4894,7.62,0.12,1.66,373,6,NEUQUEN
383,383,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",LA LIBERTAD AVANZA,4.55,6.91,27.52,35.66,25.36,414,629,2504,3244,2307,71.14,13610,9682,4.68,0.14,1.21,453,14,NEUQUEN
384,384,NEUQUEN_MINAS,"Minas, Neuquen",UNION POR LA PATRIA,4.82,8.19,17.5,30.6,38.89,248,421,900,1574,2000,78.4,7430,5825,9.41,0.09,2.21,548,5,NEUQUEN
385,385,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",LA LIBERTAD AVANZA,2.2,6.04,10.67,49.98,31.11,361,991,1751,8203,5106,76.0,22729,17274,3.53,0.01,1.45,610,2,NEUQUEN
386,386,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",UNION POR LA PATRIA,3.98,7.05,11.99,32.01,44.97,123,218,371,990,1391,75.33,4358,3283,4.02,0.09,1.68,132,3,NEUQUEN
387,387,NEUQUEN_PICUNCHES,"Picunches, Neuquen",LA LIBERTAD AVANZA,2.28,5.28,24.93,39.6,27.9,106,245,1157,1838,1295,78.26,6358,4976,5.33,0.02,1.39,265,1,NEUQUEN
388,388,NEUQUEN_ZAPALA,"Zapala, Neuquen",LA LIBERTAD AVANZA,4.58,6.59,22.3,36.58,29.95,1214,1747,5909,9694,7938,80.33,34653,27836,3.2,0.02,1.57,890,6,NEUQUEN
389,389,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",UNION POR LA PATRIA,3.76,5.66,15.08,27.27,48.23,122,184,490,886,1567,74.36,4887,3634,9.49,0.03,1.07,345,1,NEUQUEN
