,distrito_nombre1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PATAGONIA,4.25,6.76,18.96,35.18,34.85,63048,100277,281229,521969,517075,2.72,0.13,1.53,42199,2069,23761,2038114,1551627,76.13
1,RESTO DEL PAIS,2.61,6.79,24.13,29.68,36.8,646884,1684038,5985923,7362367,9128908,2.0,0.11,0.79,511962,27863,201103,33371966,25549048,76.56
