elecciones,PATAGONIA,RESTO DEL PAIS,tipovoto
PASO 2011,2.37,1.12,VOTO NULO
GENERALES 2011,1.4,0.89,VOTO NULO
PASO 2015,2.24,1,VOTO NULO
GENERALES 2015,1.36,0.71,VOTO NULO
BALLOTAGE 2015,2.11,1.19,VOTO NULO
PASO 2019,2.15,1.16,VOTO NULO
GENERALES 2019,1.52,0.84,VOTO NULO
PASO 2023,2.39,1.15,VOTO NULO
GENERALES 2023,1.53,0.79,VOTO NULO
BALLOTAGE 2023,2.81,1.56,VOTO NULO
