,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
339,339,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,3.55,0.0,0.17,1.19,43.3,33.92,0.34,0.25,0.31,1.28,0.22,0.7,0.01,0.0,14.76,2438.0,1.0,120.0,815.0,29721.0,23280.0,232.0,173.0,211.0,880.0,149.0,479.0,5.0,1.0,10129.0,70.43,100442,70743,1.38,0.1,1.5,977,70,MENDOZA
340,340,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,1.81,0.03,0.46,3.4,28.97,40.31,0.46,0.29,0.44,0.82,0.36,0.94,0.0,0.01,21.7,434.0,8.0,111.0,814.0,6937.0,9652.0,109.0,70.0,105.0,196.0,86.0,224.0,1.0,3.0,5195.0,64.69,38553,24939,2.46,0.09,1.44,613,23,MENDOZA
341,341,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,3.68,0.01,0.23,1.38,35.6,40.79,0.38,0.34,0.31,1.38,0.23,0.78,0.0,0.01,14.88,4037.0,8.0,251.0,1515.0,39083.0,44774.0,412.0,376.0,343.0,1510.0,252.0,858.0,4.0,10.0,16337.0,71.26,159780,113861,1.79,0.1,1.7,2040,112,MENDOZA
342,342,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,3.6,0.0,0.23,1.2,30.51,46.57,0.37,0.34,0.32,1.94,0.3,0.64,0.01,0.01,13.97,5928.0,1.0,385.0,1971.0,50275.0,76731.0,606.0,561.0,521.0,3198.0,493.0,1058.0,15.0,13.0,23013.0,72.25,236488,170854,1.71,0.08,1.78,2919,132,MENDOZA
343,343,MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,2.74,0.0,0.29,1.16,29.01,48.91,0.46,0.33,0.33,1.69,0.31,0.62,0.01,0.0,14.13,752.0,0.0,80.0,319.0,7950.0,13401.0,126.0,90.0,90.0,464.0,85.0,171.0,2.0,0.0,3871.0,76.02,37398,28430,1.87,0.05,1.7,531,15,MENDOZA
344,344,MENDOZA_LA PAZ,"La Paz, Mendoza",UNION POR LA PATRIA,0.55,0.0,0.15,0.43,29.57,27.46,0.19,0.07,0.15,0.35,0.11,0.29,0.0,0.0,40.67,40.0,0.0,11.0,31.0,2135.0,1982.0,14.0,5.0,11.0,25.0,8.0,21.0,0.0,0.0,2936.0,77.76,9463,7358,1.26,0.05,0.57,93,4,MENDOZA
345,345,MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,3.88,0.02,0.28,1.39,25.38,47.04,0.48,0.42,0.41,1.27,0.34,0.84,0.0,0.01,18.25,4389.0,21.0,317.0,1572.0,28718.0,53225.0,540.0,471.0,468.0,1439.0,383.0,952.0,0.0,14.0,20649.0,69.94,168582,117905,2.0,0.09,1.93,2354,112,MENDOZA
346,346,MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,2.68,0.0,0.25,0.98,15.82,47.61,0.38,0.29,0.58,3.22,0.41,0.75,0.0,0.06,26.95,666.0,1.0,63.0,243.0,3925.0,11815.0,95.0,73.0,144.0,800.0,102.0,185.0,0.0,14.0,6688.0,70.63,36260,25610,1.71,0.06,1.34,438,16,MENDOZA
347,347,MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,3.18,0.0,0.23,1.18,33.36,45.81,0.37,0.34,0.38,1.76,0.27,0.73,0.0,0.01,12.38,2413.0,0.0,171.0,892.0,25317.0,34770.0,283.0,259.0,291.0,1338.0,206.0,554.0,1.0,4.0,9396.0,67.84,115829,78579,1.59,0.08,1.75,1247,62,MENDOZA
348,348,MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,3.61,0.0,0.23,1.32,24.45,50.77,0.39,0.36,0.31,1.24,0.27,0.59,0.0,0.02,16.44,3926.0,4.0,250.0,1439.0,26619.0,55288.0,422.0,396.0,341.0,1355.0,292.0,641.0,1.0,20.0,17897.0,73.47,153779,112978,1.78,0.09,1.75,2010,100,MENDOZA
349,349,MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,2.16,0.01,0.47,2.16,24.13,45.52,0.38,0.34,0.55,0.46,0.35,1.06,0.01,0.0,22.39,359.0,1.0,78.0,359.0,4012.0,7568.0,64.0,57.0,92.0,77.0,59.0,176.0,1.0,0.0,3723.0,69.08,25305,17481,3.21,0.07,1.6,562,13,MENDOZA
350,350,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,2.5,0.04,0.21,1.26,26.88,47.86,0.43,0.28,0.28,2.67,0.31,0.49,0.0,0.04,16.74,808.0,14.0,67.0,409.0,8695.0,15480.0,139.0,90.0,92.0,865.0,100.0,158.0,1.0,14.0,5415.0,72.91,46146,33647,2.19,0.05,1.62,738,16,MENDOZA
351,351,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",LA LIBERTAD AVANZA,2.39,0.0,0.39,1.19,19.08,56.82,0.45,0.53,0.35,1.14,0.39,0.68,0.0,0.0,16.59,483.0,0.0,79.0,241.0,3858.0,11491.0,92.0,108.0,70.0,230.0,78.0,137.0,0.0,1.0,3356.0,72.74,28858,20991,2.12,0.06,1.47,446,13,MENDOZA
352,352,MENDOZA_SAN MARTIN,"San Martin, Mendoza",LA LIBERTAD AVANZA,2.47,0.0,0.26,1.27,29.05,43.76,0.39,0.28,0.39,3.4,0.34,0.59,0.0,0.0,17.8,1664.0,0.0,178.0,857.0,19581.0,29490.0,262.0,191.0,261.0,2290.0,228.0,396.0,1.0,1.0,11997.0,71.76,97387,69883,1.81,0.05,1.7,1263,33,MENDOZA
353,353,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",LA LIBERTAD AVANZA,1.86,0.0,0.3,1.73,24.69,47.34,0.39,0.32,0.61,0.56,0.31,0.98,0.01,0.0,20.88,1888.0,1.0,304.0,1754.0,25014.0,47959.0,391.0,328.0,615.0,568.0,318.0,997.0,12.0,5.0,21152.0,68.49,153674,105255,1.9,0.05,1.8,2005,53,MENDOZA
354,354,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",LA LIBERTAD AVANZA,1.44,0.0,0.19,0.84,22.85,38.29,0.34,0.25,0.3,0.74,0.24,0.4,0.0,0.0,34.11,159.0,0.0,21.0,93.0,2519.0,4221.0,38.0,28.0,33.0,82.0,26.0,44.0,0.0,0.0,3760.0,76.5,14824,11341,1.6,0.11,1.09,181,12,MENDOZA
355,355,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",LA LIBERTAD AVANZA,2.15,0.0,0.17,1.08,20.56,50.36,0.36,0.31,0.22,0.55,0.31,0.51,0.0,0.0,23.41,605.0,0.0,48.0,305.0,5789.0,14175.0,102.0,86.0,61.0,155.0,88.0,144.0,1.0,1.0,6590.0,67.49,43503,29360,2.63,0.12,1.37,773,34,MENDOZA
356,356,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",LA LIBERTAD AVANZA,2.35,0.0,0.27,1.16,19.94,56.52,0.3,0.27,0.34,0.48,0.45,0.56,0.0,0.0,17.35,463.0,0.0,54.0,229.0,3929.0,11135.0,59.0,54.0,67.0,94.0,88.0,110.0,0.0,0.0,3418.0,73.41,27943,20514,2.9,0.02,1.05,594,5,MENDOZA
426,426,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",UNION POR LA PATRIA,0.54,0.03,0.37,0.67,18.11,32.98,0.38,0.29,0.56,6.4,0.45,0.26,0.0,0.0,38.95,51.0,3.0,35.0,63.0,1715.0,3123.0,36.0,27.0,53.0,606.0,43.0,25.0,0.0,0.0,3688.0,65.92,14945,9851,3.35,0.01,0.53,330,1,SAN JUAN
427,427,SAN JUAN_9 DE JULIO,"9 De Julio, San Juan",LA LIBERTAD AVANZA,1.65,0.0,0.28,0.77,22.59,41.41,0.16,0.3,0.68,0.97,0.56,0.0,0.0,0.0,30.63,100.0,0.0,17.0,47.0,1372.0,2515.0,10.0,18.0,41.0,59.0,34.0,0.0,0.0,0.0,1860.0,67.49,9486,6402,3.98,0.03,1.12,255,2,SAN JUAN
428,428,SAN JUAN_ALBARDON,"Albardon, San Juan",LA LIBERTAD AVANZA,0.89,0.01,0.46,1.16,21.52,42.08,0.33,0.19,0.77,0.01,0.29,0.0,0.02,0.0,32.27,138.0,2.0,71.0,180.0,3336.0,6522.0,51.0,30.0,119.0,1.0,45.0,0.0,3.0,0.0,5002.0,72.11,22544,16256,3.37,0.13,1.15,548,21,SAN JUAN
429,429,SAN JUAN_ANGACO,"Angaco, San Juan",LA LIBERTAD AVANZA,0.99,0.0,0.37,1.86,25.54,37.32,0.24,0.19,0.82,0.8,0.33,0.03,0.02,0.0,31.48,57.0,0.0,21.0,107.0,1466.0,2142.0,14.0,11.0,47.0,46.0,19.0,2.0,1.0,0.0,1807.0,72.15,8355,6028,3.73,0.02,1.03,225,1,SAN JUAN
430,430,SAN JUAN_CALINGASTA,"Calingasta, San Juan",LA LIBERTAD AVANZA,0.73,0.0,0.6,0.73,25.12,41.12,0.47,0.53,0.91,0.22,0.46,0.0,0.0,0.0,29.11,40.0,0.0,33.0,40.0,1378.0,2256.0,26.0,29.0,50.0,12.0,25.0,0.0,0.0,0.0,1597.0,68.81,8661,5960,6.24,0.02,1.69,372,1,SAN JUAN
431,431,SAN JUAN_CAPITAL,"Capital, San Juan",JUNTOS POR EL CAMBIO,1.37,0.06,0.16,2.31,44.21,29.23,0.19,0.15,0.31,0.32,0.16,0.44,0.0,0.0,21.08,872.0,36.0,104.0,1474.0,28201.0,18647.0,119.0,95.0,199.0,205.0,105.0,282.0,2.0,0.0,13449.0,70.29,94108,66147,2.51,0.05,1.01,1659,31,SAN JUAN
432,432,SAN JUAN_CAUCETE,"Caucete, San Juan",UNION POR LA PATRIA,1.35,0.0,0.39,1.24,24.82,32.27,0.39,0.24,0.46,0.37,0.3,0.31,0.0,0.0,37.86,277.0,0.0,79.0,254.0,5086.0,6611.0,80.0,50.0,94.0,75.0,62.0,64.0,0.0,0.0,7756.0,66.52,31897,21219,2.44,0.05,0.96,518,10,SAN JUAN
433,433,SAN JUAN_CHIMBAS,"Chimbas, San Juan",LA LIBERTAD AVANZA,1.76,0.0,0.25,1.48,20.11,38.31,0.3,0.24,0.75,0.42,0.36,0.25,0.01,0.0,35.74,854.0,0.0,123.0,716.0,9735.0,18541.0,147.0,118.0,362.0,203.0,173.0,120.0,5.0,1.0,17299.0,69.36,73591,51040,3.7,0.05,1.42,1890,26,SAN JUAN
434,434,SAN JUAN_IGLESIA,"Iglesia, San Juan",LA LIBERTAD AVANZA,0.9,0.0,0.93,1.41,26.05,40.26,0.07,1.04,1.06,0.42,0.42,0.0,0.0,0.0,27.44,41.0,0.0,42.0,64.0,1181.0,1825.0,3.0,47.0,48.0,19.0,19.0,0.0,0.0,0.0,1244.0,60.39,8018,4842,5.51,0.0,0.87,267,0,SAN JUAN
435,435,SAN JUAN_JACHAL,"Jachal, San Juan",UNION POR LA PATRIA,1.08,0.0,0.58,1.82,25.65,24.76,0.51,0.43,0.84,0.17,0.63,0.0,0.03,0.0,43.51,155.0,0.0,83.0,261.0,3675.0,3548.0,73.0,61.0,120.0,25.0,90.0,0.0,4.0,0.0,6234.0,75.69,20043,15170,4.13,0.02,1.39,627,3,SAN JUAN
436,436,SAN JUAN_POCITO,"Pocito, San Juan",LA LIBERTAD AVANZA,1.47,0.01,0.35,1.2,19.53,41.21,0.0,0.31,0.94,0.99,0.38,0.38,0.0,0.0,33.24,490.0,2.0,116.0,399.0,6518.0,13751.0,0.0,105.0,315.0,329.0,126.0,127.0,0.0,0.0,11091.0,70.65,49628,35062,3.59,0.08,1.16,1258,28,SAN JUAN
437,437,SAN JUAN_RAWSON,"Rawson, San Juan",LA LIBERTAD AVANZA,1.44,0.01,0.25,2.16,25.12,38.69,0.36,0.2,0.66,0.99,0.28,0.31,0.0,0.0,29.53,955.0,6.0,167.0,1437.0,16686.0,25696.0,241.0,132.0,436.0,656.0,186.0,204.0,0.0,2.0,19612.0,69.01,100596,69420,2.93,0.07,1.32,2037,48,SAN JUAN
438,438,SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",JUNTOS POR EL CAMBIO,1.49,0.01,0.21,1.92,36.01,32.51,0.26,0.18,0.49,0.42,0.21,0.37,0.0,0.0,25.92,769.0,3.0,110.0,993.0,18627.0,16818.0,135.0,94.0,253.0,219.0,110.0,191.0,2.0,1.0,13409.0,71.75,75223,53971,2.91,0.05,1.18,1572,28,SAN JUAN
439,439,SAN JUAN_SAN MARTIN,"San Martin, San Juan",LA LIBERTAD AVANZA,0.99,0.0,0.43,1.48,17.9,40.25,0.4,0.27,0.71,0.38,0.45,0.0,0.0,0.0,36.74,70.0,0.0,30.0,104.0,1260.0,2834.0,28.0,19.0,50.0,27.0,32.0,0.0,0.0,0.0,2587.0,72.01,10482,7548,5.47,0.07,1.18,413,5,SAN JUAN
