,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
492,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",FRENTE DE TODOS,1.25,0.17,83.58,6.92,0.06,7.66,0.12,0.02,0.01,0.2,110,15,7373,610,5,676,11,2,1,18,66.79,13431,8970,1.04,0.19,0.43,93,17,39,SANTIAGO DEL ESTERO
493,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",FRENTE DE TODOS,2.23,0.55,82.29,1.17,0.09,12.31,0.35,0.09,0.12,0.81,287,71,10612,151,12,1587,45,11,15,105,72.58,18237,13237,1.87,0.2,0.5,248,27,66,SANTIAGO DEL ESTERO
494,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",FRENTE DE TODOS,1.83,0.0,74.5,1.17,0.33,21.5,0.0,0.17,0.0,0.5,11,0,447,7,2,129,0,1,0,3,58.8,1080,635,4.72,0.79,0.0,30,5,0,SANTIAGO DEL ESTERO
495,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",FRENTE DE TODOS,1.91,0.38,82.37,2.46,0.12,12.25,0.15,0.09,0.06,0.2,345,69,14886,445,22,2214,28,17,10,37,68.42,27167,18588,2.18,0.18,0.4,406,34,75,SANTIAGO DEL ESTERO
496,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",FRENTE DE TODOS,2.72,0.52,80.82,0.94,0.1,14.04,0.17,0.09,0.05,0.55,249,48,7405,86,9,1286,16,8,5,50,74.79,12818,9586,3.64,0.23,0.55,349,22,53,SANTIAGO DEL ESTERO
497,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",FRENTE DE TODOS,2.69,0.21,87.6,0.59,0.12,8.33,0.11,0.05,0.03,0.25,308,24,10014,67,14,952,13,6,4,29,67.84,17255,11706,1.95,0.1,0.3,228,12,35,SANTIAGO DEL ESTERO
498,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",FRENTE DE TODOS,3.1,0.62,79.03,0.39,0.23,15.71,0.27,0.12,0.11,0.42,175,35,4467,22,13,888,15,7,6,24,70.25,8335,5855,2.7,0.2,0.56,158,12,33,SANTIAGO DEL ESTERO
499,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",FRENTE DE TODOS,2.6,0.93,86.23,0.85,0.11,8.23,0.24,0.12,0.05,0.65,905,323,30008,296,38,2864,82,41,18,225,72.78,48866,35564,1.19,0.13,0.83,424,45,295,SANTIAGO DEL ESTERO
500,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",FRENTE DE TODOS,3.66,0.36,55.41,0.76,0.14,38.18,0.4,0.07,0.11,0.9,101,10,1531,21,4,1055,11,2,3,25,75.98,3730,2834,2.08,0.32,0.11,59,9,3,SANTIAGO DEL ESTERO
501,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",FRENTE DE TODOS,2.22,0.49,82.57,1.71,0.11,12.01,0.24,0.1,0.05,0.5,629,139,23443,485,32,3409,68,29,13,143,75.7,38428,29089,1.77,0.14,0.49,514,42,143,SANTIAGO DEL ESTERO
502,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",FRENTE DE TODOS,0.72,0.19,91.52,0.8,0.14,6.21,0.16,0.08,0.05,0.11,45,12,5701,50,9,387,10,5,3,7,71.6,8838,6328,1.11,0.19,0.27,70,12,17,SANTIAGO DEL ESTERO
503,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",FRENTE DE TODOS,1.0,0.25,93.57,0.79,0.06,4.08,0.04,0.02,0.04,0.15,52,13,4858,41,3,212,2,1,2,8,70.76,7418,5249,0.82,0.13,0.13,43,7,7,SANTIAGO DEL ESTERO
504,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",FRENTE DE TODOS,0.78,0.22,90.27,0.34,0.13,7.8,0.26,0.0,0.0,0.22,18,5,2096,8,3,181,6,0,0,5,73.1,3223,2356,0.72,0.38,0.34,17,9,8,SANTIAGO DEL ESTERO
505,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",FRENTE DE TODOS,4.84,0.34,88.97,0.82,0.02,4.63,0.11,0.06,0.08,0.13,253,18,4652,43,1,242,6,3,4,7,72.64,7321,5318,1.11,0.15,0.41,59,8,22,SANTIAGO DEL ESTERO
506,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",FRENTE DE TODOS,2.14,0.58,80.42,2.79,0.06,13.11,0.28,0.11,0.09,0.43,514,140,19347,671,14,3153,68,26,21,104,71.89,34304,24661,1.86,0.11,0.48,458,27,118,SANTIAGO DEL ESTERO
511,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",FRENTE DE TODOS,5.34,0.73,68.56,1.59,0.09,22.71,0.24,0.03,0.03,0.68,1049,144,13474,312,17,4464,48,6,6,133,78.31,25555,20011,0.93,0.14,0.71,187,29,142,TUCUMAN
512,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",FRENTE DE TODOS,4.32,0.46,79.52,1.35,0.07,13.76,0.13,0.06,0.02,0.31,1088,117,20027,339,17,3466,32,16,6,77,73.77,34783,25659,0.96,0.19,0.7,246,49,179,TUCUMAN
513,TUCUMAN_CAPITAL,"Capital, Tucuman",FRENTE DE TODOS,8.75,2.4,48.01,4.49,0.19,33.36,0.29,0.1,0.08,2.34,28331,7760,155474,14547,630,108035,953,322,252,7564,74.16,453036,335979,1.91,0.2,1.49,6427,687,4997,TUCUMAN
514,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",FRENTE DE TODOS,5.98,0.87,63.91,2.56,0.14,24.19,0.22,0.1,0.03,1.98,3101,453,33135,1327,75,12543,114,52,18,1027,77.92,67873,52890,0.92,0.13,0.92,488,70,487,TUCUMAN
515,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",FRENTE DE TODOS,5.57,1.38,71.41,3.13,0.12,17.15,0.21,0.07,0.06,0.9,6685,1656,85646,3749,146,20573,256,81,73,1077,76.53,160678,122964,1.28,0.14,1.03,1579,176,1267,TUCUMAN
516,TUCUMAN_FAMAILLA,"Famailla, Tucuman",FRENTE DE TODOS,6.65,1.04,70.51,2.9,0.08,17.66,0.22,0.09,0.07,0.77,1485,233,15750,648,18,3944,49,21,16,172,75.61,30408,22992,1.6,0.11,1.14,369,26,261,TUCUMAN
517,TUCUMAN_GRANEROS,"Graneros, Tucuman",FRENTE DE TODOS,3.69,0.5,81.17,1.91,0.04,12.11,0.13,0.05,0.01,0.38,337,46,7421,175,4,1107,12,5,1,35,78.86,11758,9272,0.82,0.16,0.41,76,15,38,TUCUMAN
518,TUCUMAN_LA COCHA,"La Cocha, Tucuman",FRENTE DE TODOS,4.13,0.53,74.51,1.09,0.18,18.99,0.12,0.07,0.06,0.31,518,67,9344,137,23,2382,15,9,7,39,79.01,16156,12765,0.84,0.18,0.74,107,23,94,TUCUMAN
519,TUCUMAN_LEALES,"Leales, Tucuman",FRENTE DE TODOS,5.12,0.84,74.91,1.8,0.08,16.39,0.19,0.06,0.05,0.56,1905,313,27877,669,31,6099,72,23,18,207,78.89,48192,38019,1.22,0.1,0.8,463,39,303,TUCUMAN
520,TUCUMAN_LULES,"Lules, Tucuman",FRENTE DE TODOS,6.91,1.26,63.13,3.31,0.11,23.59,0.26,0.07,0.04,1.31,2839,517,25920,1360,45,9688,105,30,17,539,79.92,52841,42229,1.37,0.16,1.24,579,67,523,TUCUMAN
521,TUCUMAN_MONTEROS,"Monteros, Tucuman",FRENTE DE TODOS,5.22,0.86,74.66,2.26,0.11,15.71,0.24,0.06,0.04,0.83,2260,372,32296,978,48,6796,104,26,17,360,80.13,54949,44030,0.91,0.25,0.6,400,110,263,TUCUMAN
522,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",FRENTE DE TODOS,5.28,0.8,74.47,2.23,0.13,15.81,0.19,0.04,0.04,0.99,2042,311,28812,863,49,6118,75,17,17,384,80.74,48810,39407,1.05,0.14,0.63,415,54,250,TUCUMAN
523,TUCUMAN_SIMOCA,"Simoca, Tucuman",FRENTE DE TODOS,3.74,0.56,79.02,1.2,0.0,14.75,0.17,0.07,0.03,0.45,797,120,16845,256,1,3144,36,15,7,96,77.18,28057,21653,0.97,0.19,0.39,210,41,85,TUCUMAN
524,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",FRENTE DE TODOS,4.52,0.91,79.12,1.87,0.11,12.39,0.33,0.07,0.01,0.67,469,94,8210,194,11,1286,34,7,1,70,75.75,14007,10611,1.15,0.12,0.94,122,13,100,TUCUMAN
525,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",FRENTE DE TODOS,8.79,2.13,58.05,4.37,0.17,24.2,0.31,0.13,0.08,1.78,7412,1796,48941,3681,141,20405,261,108,64,1501,76.74,113521,87114,1.58,0.18,1.46,1378,154,1272,TUCUMAN
526,TUCUMAN_TRANCAS,"Trancas, Tucuman",FRENTE DE TODOS,6.03,0.79,67.63,2.34,0.25,21.91,0.35,0.12,0.06,0.53,657,86,7374,255,27,2389,38,13,7,58,73.89,15229,11253,1.35,0.33,1.42,152,37,160,TUCUMAN
527,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",FRENTE DE TODOS,7.88,1.94,43.25,3.84,0.19,40.1,0.28,0.1,0.08,2.33,4377,1076,24041,2134,108,22290,158,58,43,1295,78.4,73277,57449,1.81,0.1,1.34,1039,59,771,TUCUMAN
