,distrito_nombre1,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,49.71,50.29,4463810,4516588,1.57,0.06,1.17,145491,5709,108211,11227616,9239809,82.3
1,INTERIOR,52.35,47.65,8439491,7681853,0.97,0.05,1.27,159738,7674,209995,20593323,16498751,80.12
