,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
287,286.0,JUJUY_LEDESMA,"Ledesma, Jujuy",FRENTE DE TODOS,4.84,1.87,56.14,1.78,34.14,1.23,2508,971,29104,924,17701,636,81.13,65266,52948,0.97,0.05,1.07,512,27,565,JUJUY
288,287.0,JUJUY_PALPALA,"Palpala, Jujuy",FRENTE DE TODOS,7.81,2.56,42.64,2.62,41.57,2.8,2813,921,15356,943,14968,1010,84.05,43625,36668,0.7,0.04,1.06,257,13,387,JUJUY
289,288.0,JUJUY_RINCONADA,"Rinconada, Jujuy",FRENTE DE TODOS,4.65,1.33,62.05,2.47,28.46,1.04,49,14,654,26,300,11,70.14,1544,1083,1.48,0.0,1.2,16,0,13,JUJUY
290,289.0,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",JUNTOS POR EL CAMBIO,5.5,1.37,40.61,2.83,48.31,1.37,192,48,1419,99,1688,48,81.24,4403,3577,0.95,0.2,1.17,34,7,42,JUJUY
291,290.0,JUJUY_SAN PEDRO,"San Pedro, Jujuy",FRENTE DE TODOS,5.0,1.76,54.63,1.93,35.15,1.53,2552,899,27913,986,17956,784,82.46,63114,52042,0.87,0.04,0.92,455,19,478,JUJUY
292,291.0,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE DE TODOS,3.21,0.99,60.31,1.82,33.14,0.53,368,113,6904,208,3794,61,81.74,14215,11619,0.64,0.04,0.79,74,5,92,JUJUY
293,292.0,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE DE TODOS,2.83,1.12,66.33,2.24,26.25,1.23,53,21,1243,42,492,23,73.39,2634,1933,2.07,0.0,0.98,40,0,19,JUJUY
294,293.0,JUJUY_SUSQUES,"Susques, Jujuy",FRENTE DE TODOS,4.59,5.2,53.28,1.88,33.93,1.14,105,119,1220,43,777,26,75.06,3144,2360,1.23,0.21,1.53,29,5,36,JUJUY
295,294.0,JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE DE TODOS,4.99,2.04,57.26,2.74,31.4,1.57,412,168,4726,226,2592,130,81.14,10421,8456,1.08,0.09,1.22,91,8,103,JUJUY
296,295.0,JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE DE TODOS,4.78,1.49,50.69,1.1,40.9,1.04,170,53,1801,39,1453,37,83.0,4342,3604,0.75,0.03,0.64,27,1,23,JUJUY
