,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
308,308,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,1.39,0.0,0.33,1.97,39.38,35.81,0.46,0.23,0.39,0.5,0.33,0.73,0.0,0.0,18.48,72.0,0.0,17.0,102.0,2042.0,1857.0,24.0,12.0,20.0,26.0,17.0,38.0,0.0,0.0,958.0,64.43,8308,5353,2.58,0.0,0.56,138,0,LA PAMPA
309,309,LA PAMPA_HUCAL,"Hucal, La Pampa",JUNTOS POR EL CAMBIO,1.7,0.0,0.31,5.93,33.74,28.33,0.63,0.29,0.67,0.87,0.49,0.0,0.0,0.0,27.03,76.0,0.0,14.0,265.0,1509.0,1267.0,28.0,13.0,30.0,39.0,22.0,0.0,0.0,0.0,1209.0,65.88,7227,4761,4.68,0.0,1.39,223,0,LA PAMPA
310,310,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",UNION POR LA PATRIA,0.0,0.0,0.0,1.3,29.22,31.82,1.3,0.65,0.0,0.65,0.0,0.0,0.0,0.0,35.06,0.0,0.0,0.0,2.0,45.0,49.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,57.72,272,157,1.27,0.0,0.64,2,0,LA PAMPA
311,311,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",LA LIBERTAD AVANZA,0.0,0.0,0.0,1.27,22.78,42.41,0.0,0.0,0.63,0.0,0.63,0.0,0.0,0.0,32.28,0.0,0.0,0.0,2.0,36.0,67.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,51.0,43.9,385,169,2.96,0.0,3.55,5,0,LA PAMPA
312,312,LA PAMPA_LOVENTUE,"Loventue, La Pampa",UNION POR LA PATRIA,1.92,0.0,0.38,3.0,27.26,30.45,0.5,0.21,0.25,0.58,0.33,0.15,0.0,0.0,34.97,100.0,0.0,20.0,156.0,1418.0,1584.0,26.0,11.0,13.0,30.0,17.0,8.0,0.0,0.0,1819.0,65.92,8171,5386,1.8,0.35,1.26,97,19,LA PAMPA
313,313,LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,2.02,0.26,0.31,4.52,28.88,36.92,0.71,0.22,0.37,0.69,0.38,0.6,0.0,0.04,24.08,771.0,98.0,119.0,1726.0,11034.0,14106.0,271.0,85.0,143.0,262.0,145.0,228.0,0.0,15.0,9199.0,72.15,54714,39478,1.72,0.04,1.47,679,17,LA PAMPA
314,314,LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,1.36,0.0,0.69,3.36,17.41,53.66,0.4,0.24,0.28,0.72,0.21,0.0,0.0,0.0,21.67,79.0,0.0,40.0,195.0,1010.0,3113.0,23.0,14.0,16.0,42.0,12.0,0.0,0.0,0.0,1257.0,65.78,9080,5973,1.34,0.03,1.51,80,2,LA PAMPA
315,315,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",JUNTOS POR EL CAMBIO,2.04,0.0,0.18,3.3,40.98,31.69,0.46,0.18,0.44,0.36,0.46,0.0,0.0,0.0,19.89,101.0,0.0,9.0,164.0,2034.0,1573.0,23.0,9.0,22.0,18.0,23.0,0.0,0.0,0.0,987.0,65.5,7799,5108,1.59,0.06,1.19,81,3,LA PAMPA
316,316,LA PAMPA_RANCUL,"Rancul, La Pampa",LA LIBERTAD AVANZA,1.1,0.17,0.22,2.88,29.89,33.1,0.45,0.21,0.49,0.3,0.39,0.04,0.0,0.0,30.77,59.0,9.0,12.0,154.0,1601.0,1773.0,24.0,11.0,26.0,16.0,21.0,2.0,0.0,0.0,1648.0,57.15,9726,5558,2.28,0.0,1.35,127,0,LA PAMPA
317,317,LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,0.95,0.03,0.31,4.22,33.26,35.82,0.31,0.16,0.26,0.3,0.31,0.07,0.0,0.0,24.02,96.0,3.0,31.0,426.0,3358.0,3616.0,31.0,16.0,26.0,30.0,31.0,7.0,0.0,0.0,2425.0,68.68,15241,10468,2.26,0.06,1.23,237,6,LA PAMPA
318,318,LA PAMPA_TOAY,"Toay, La Pampa",LA LIBERTAD AVANZA,2.08,0.0,0.25,3.78,24.83,33.72,0.51,0.17,0.27,0.39,0.39,1.28,0.0,0.0,32.32,216.0,0.0,26.0,393.0,2578.0,3502.0,53.0,18.0,28.0,41.0,40.0,133.0,0.0,0.0,3356.0,72.21,14943,10791,2.1,0.03,1.64,227,3,LA PAMPA
319,319,LA PAMPA_TRENEL,"Trenel, La Pampa",UNION POR LA PATRIA,1.07,0.0,0.26,4.35,25.17,30.21,0.49,0.32,0.67,0.41,0.38,0.0,0.0,0.0,36.67,37.0,0.0,9.0,150.0,869.0,1043.0,17.0,11.0,23.0,14.0,13.0,0.0,0.0,0.0,1266.0,70.77,5057,3579,2.4,0.03,1.12,86,1,LA PAMPA
320,320,LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,1.25,0.0,0.26,2.84,33.72,36.78,0.47,0.28,0.35,0.34,0.41,0.89,0.01,0.06,22.36,117.0,0.0,24.0,266.0,3161.0,3448.0,44.0,26.0,33.0,32.0,38.0,83.0,1.0,6.0,2096.0,68.79,14286,9828,3.05,0.04,1.52,300,4,LA PAMPA
461,461,SANTA FE_9 DE JULIO,"9 De Julio, Santa Fe",LA LIBERTAD AVANZA,0.47,0.4,0.04,2.98,26.2,45.8,0.36,0.18,0.21,0.27,0.23,0.52,0.01,0.06,22.27,76.0,65.0,6.0,483.0,4246.0,7421.0,58.0,29.0,34.0,44.0,37.0,85.0,1.0,10.0,3609.0,64.31,26798,17234,4.01,0.05,1.92,691,8,SANTA FE
462,462,SANTA FE_BELGRANO,"Belgrano, Santa Fe",LA LIBERTAD AVANZA,1.18,0.0,0.18,7.99,32.82,40.3,0.21,0.1,0.32,0.17,0.12,1.13,0.11,0.18,15.19,309.0,0.0,48.0,2102.0,8630.0,10596.0,56.0,25.0,84.0,46.0,32.0,297.0,28.0,47.0,3994.0,70.32,39434,27731,3.74,0.05,1.4,1036,14,SANTA FE
463,463,SANTA FE_CASEROS,"Caseros, Santa Fe",JUNTOS POR EL CAMBIO,1.21,0.01,0.19,6.31,36.58,36.48,0.34,0.13,0.36,0.25,0.22,1.52,0.28,0.17,15.94,560.0,5.0,89.0,2929.0,16973.0,16929.0,159.0,61.0,169.0,114.0,100.0,706.0,131.0,78.0,7397.0,68.83,72274,49748,4.52,0.09,2.12,2251,43,SANTA FE
464,464,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",LA LIBERTAD AVANZA,0.86,0.21,0.01,8.69,36.67,37.12,0.27,0.12,0.33,0.19,0.16,0.79,0.0,0.0,14.59,845.0,210.0,7.0,8562.0,36144.0,36592.0,264.0,119.0,322.0,189.0,153.0,775.0,1.0,1.0,14386.0,69.19,150694,104265,3.26,0.07,2.13,3401,70,SANTA FE
465,465,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",LA LIBERTAD AVANZA,1.88,0.0,0.16,4.17,32.61,34.37,0.35,0.13,0.51,0.24,0.19,1.74,0.19,0.23,23.24,969.0,2.0,82.0,2147.0,16798.0,17707.0,178.0,69.0,263.0,123.0,99.0,894.0,96.0,118.0,11971.0,72.12,76627,55266,4.04,0.08,2.67,2234,42,SANTA FE
466,466,SANTA FE_GARAY,"Garay, Santa Fe",LA LIBERTAD AVANZA,0.7,0.41,0.12,1.98,28.53,41.56,0.24,0.17,0.34,0.16,0.22,0.69,0.09,0.19,24.59,83.0,48.0,14.0,235.0,3381.0,4924.0,29.0,20.0,40.0,19.0,26.0,82.0,11.0,23.0,2914.0,63.84,19882,12692,4.09,0.1,2.45,519,13,SANTA FE
467,467,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",LA LIBERTAD AVANZA,1.08,0.0,0.12,4.78,35.58,39.85,0.23,0.09,0.23,0.21,0.22,1.54,0.25,0.15,15.65,1174.0,0.0,135.0,5169.0,38511.0,43130.0,252.0,99.0,253.0,229.0,241.0,1668.0,269.0,163.0,16939.0,68.34,166949,114087,3.24,0.07,1.82,3696,84,SANTA FE
468,468,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",LA LIBERTAD AVANZA,0.94,0.16,0.2,3.05,30.9,38.63,0.33,0.18,0.33,0.36,0.26,0.9,0.06,0.13,23.59,902.0,150.0,194.0,2931.0,29655.0,37073.0,314.0,168.0,321.0,343.0,245.0,860.0,53.0,124.0,22634.0,66.43,153894,102231,3.82,0.09,2.22,3901,89,SANTA FE
469,469,SANTA FE_IRIONDO,"Iriondo, Santa Fe",LA LIBERTAD AVANZA,1.34,0.07,0.22,6.1,31.4,39.26,0.32,0.15,0.43,0.28,0.23,1.42,0.13,0.19,18.46,537.0,29.0,86.0,2441.0,12559.0,15703.0,128.0,60.0,172.0,110.0,92.0,568.0,53.0,74.0,7384.0,71.24,59887,42663,4.26,0.08,1.92,1817,33,SANTA FE
470,470,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",LA LIBERTAD AVANZA,1.61,0.36,0.16,2.89,33.67,35.96,0.31,0.11,0.37,0.31,0.21,1.52,0.21,0.05,22.26,4594.0,1031.0,453.0,8274.0,96335.0,102896.0,894.0,315.0,1054.0,893.0,612.0,4336.0,607.0,131.0,63690.0,66.23,457221,302840,2.81,0.06,2.66,8497,169,SANTA FE
471,471,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",LA LIBERTAD AVANZA,0.73,0.28,0.0,3.85,36.47,43.34,0.28,0.11,0.35,0.22,0.18,1.34,0.12,0.0,12.75,444.0,170.0,0.0,2354.0,22325.0,26533.0,169.0,68.0,216.0,133.0,112.0,822.0,71.0,0.0,7804.0,71.36,91070,64990,3.7,0.15,1.96,2403,95,SANTA FE
472,472,SANTA FE_ROSARIO,"Rosario, Santa Fe",LA LIBERTAD AVANZA,2.66,0.25,0.15,2.6,32.12,33.4,0.35,0.13,0.45,0.39,0.19,1.79,0.03,0.0,25.49,17102.0,1594.0,958.0,16731.0,206688.0,214942.0,2239.0,851.0,2883.0,2510.0,1197.0,11544.0,189.0,28.0,164011.0,65.27,1053869,687817,3.38,0.09,2.97,23266,636,SANTA FE
473,473,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",LA LIBERTAD AVANZA,0.98,0.24,0.01,6.86,33.54,37.38,0.27,0.15,0.29,0.19,0.2,0.64,0.0,0.0,19.25,341.0,84.0,2.0,2389.0,11679.0,13018.0,93.0,53.0,100.0,67.0,71.0,224.0,0.0,0.0,6703.0,61.2,60546,37057,4.06,0.16,1.8,1506,60,SANTA FE
474,474,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",LA LIBERTAD AVANZA,0.57,0.43,0.16,2.42,28.77,34.9,0.19,0.13,0.28,0.11,0.17,0.95,0.06,0.2,30.66,89.0,68.0,25.0,378.0,4498.0,5457.0,29.0,21.0,44.0,17.0,27.0,148.0,10.0,31.0,4793.0,60.12,27838,16737,4.0,0.07,2.51,670,12,SANTA FE
475,475,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",LA LIBERTAD AVANZA,1.11,0.4,0.15,4.46,33.14,37.42,0.32,0.16,0.34,0.2,0.18,1.22,0.15,0.2,20.56,498.0,181.0,69.0,2008.0,14924.0,16850.0,143.0,70.0,151.0,88.0,82.0,549.0,66.0,90.0,9260.0,68.45,70162,48028,4.03,0.14,2.08,1936,65,SANTA FE
476,476,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",LA LIBERTAD AVANZA,0.64,0.35,0.0,4.35,36.62,37.98,0.28,0.15,0.32,0.56,0.15,0.87,0.11,0.0,17.62,153.0,83.0,0.0,1043.0,8780.0,9107.0,68.0,36.0,77.0,134.0,37.0,208.0,26.0,0.0,4226.0,68.38,37209,25443,3.73,0.01,2.02,948,3,SANTA FE
477,477,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",LA LIBERTAD AVANZA,1.68,0.1,0.17,3.59,27.47,41.66,0.28,0.12,0.33,0.27,0.26,1.8,0.23,0.2,21.84,1746.0,101.0,172.0,3725.0,28503.0,43227.0,291.0,129.0,341.0,284.0,270.0,1868.0,238.0,205.0,22658.0,70.25,156959,110256,3.35,0.04,2.5,3698,49,SANTA FE
478,478,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",LA LIBERTAD AVANZA,0.77,0.32,0.14,8.06,33.14,41.2,0.27,0.11,0.23,0.53,0.19,1.04,0.09,0.19,13.72,278.0,116.0,52.0,2902.0,11930.0,14829.0,96.0,39.0,83.0,189.0,68.0,373.0,31.0,70.0,4940.0,69.48,55220,38367,3.7,0.08,2.4,1419,32,SANTA FE
479,479,SANTA FE_VERA,"Vera, Santa Fe",LA LIBERTAD AVANZA,0.56,0.31,0.05,2.92,28.12,36.1,0.36,0.22,0.33,0.28,0.3,1.15,0.13,0.1,29.06,145.0,81.0,14.0,760.0,7308.0,9381.0,94.0,56.0,86.0,74.0,77.0,300.0,35.0,25.0,7552.0,60.56,46301,28042,4.97,0.1,2.26,1393,27,SANTA FE
