,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
35,35,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",JUNTOS POR EL CAMBIO,1.14,3.29,35.83,27.13,32.6,228,657,7151,5415,6506,82.17,25510,20961,3.9,0.19,0.7,817,40,BUENOS AIRES
42,42,BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",JUNTOS POR EL CAMBIO,1.17,2.44,34.9,26.62,34.87,73,153,2186,1667,2184,79.42,8150,6473,2.46,0.23,0.56,159,15,BUENOS AIRES
43,43,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",UNION POR LA PATRIA,2.69,3.55,29.67,27.52,36.56,773,1020,8514,7897,10489,77.26,38644,29855,3.02,0.3,0.57,903,89,BUENOS AIRES
44,44,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",JUNTOS POR EL CAMBIO,0.73,3.39,35.85,27.95,32.08,50,233,2461,1919,2202,79.8,8985,7170,3.89,0.24,0.13,279,17,BUENOS AIRES
45,45,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",JUNTOS POR EL CAMBIO,1.02,4.39,33.69,32.52,28.39,118,510,3912,3776,3297,78.66,15317,12049,3.2,0.14,0.27,386,17,BUENOS AIRES
46,46,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",JUNTOS POR EL CAMBIO,1.65,4.27,35.24,26.24,32.6,211,546,4507,3356,4169,79.43,16769,13319,3.53,0.19,0.26,470,25,BUENOS AIRES
47,47,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",UNION POR LA PATRIA,1.08,3.79,33.36,18.12,43.64,24,84,740,402,968,81.83,2900,2373,5.9,0.46,0.17,140,11,BUENOS AIRES
48,48,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Juan Madariaga, Buenos Aires",JUNTOS POR EL CAMBIO,2.9,5.1,33.22,30.42,28.37,402,707,4604,4216,3932,75.21,19419,14605,4.72,0.16,0.21,690,24,BUENOS AIRES
49,49,BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",JUNTOS POR EL CAMBIO,1.68,4.18,32.56,31.94,29.64,113,282,2195,2153,1998,73.52,9835,7231,4.8,0.47,1.51,347,34,BUENOS AIRES
51,51,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",JUNTOS POR EL CAMBIO,1.34,2.73,35.57,27.32,33.03,50,102,1328,1020,1233,74.87,5154,3859,2.51,0.16,0.6,97,6,BUENOS AIRES
