,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
218,218,CORDOBA_PUNILLA,"Punilla, Cordoba",LA LIBERTAD AVANZA,1.79,27.87,22.56,32.72,15.07,2468,38419,31101,45116,20771,74.14,189556,140528,0.74,0.05,1.1,1034,68,CORDOBA
219,219,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",LA LIBERTAD AVANZA,1.21,27.95,21.81,35.56,13.47,2018,46613,36379,59306,22474,76.35,222088,169564,0.69,0.01,0.94,1171,10,CORDOBA
220,220,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",LA LIBERTAD AVANZA,0.71,29.57,21.57,37.62,10.54,242,10129,7389,12889,3611,78.69,44127,34725,0.66,0.13,0.55,229,45,CORDOBA
221,221,CORDOBA_RIO SECO,"Rio Seco, Cordoba",HACEMOS POR NUESTRO PAIS,0.78,33.48,19.78,30.59,15.37,72,3079,1819,2813,1414,67.12,13898,9329,1.0,0.03,0.39,93,3,CORDOBA
222,222,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",LA LIBERTAD AVANZA,0.9,29.9,22.72,37.0,9.49,668,22308,16950,27605,7078,79.69,94933,75653,0.68,0.02,0.68,515,14,CORDOBA
223,223,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",HACEMOS POR NUESTRO PAIS,1.79,35.3,16.47,30.08,16.36,513,10097,4710,8604,4679,74.91,38790,29056,0.74,0.03,0.8,214,8,CORDOBA
224,224,CORDOBA_SAN JAVIER,"San Javier, Cordoba",LA LIBERTAD AVANZA,1.94,25.67,17.64,31.88,22.87,764,10096,6935,12536,8994,74.46,53705,39991,0.76,0.02,0.89,303,7,CORDOBA
225,225,CORDOBA_SAN JUSTO,"San Justo, Cordoba",LA LIBERTAD AVANZA,0.91,30.38,21.12,35.59,12.0,1296,43321,30115,50740,17110,76.08,190194,144697,0.65,0.11,0.7,936,159,CORDOBA
226,226,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",LA LIBERTAD AVANZA,1.32,31.52,20.87,34.06,12.24,1135,27192,18002,29387,10561,77.76,112997,87864,0.8,0.02,0.99,702,17,CORDOBA
227,227,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",HACEMOS POR NUESTRO PAIS,0.67,38.55,33.71,16.54,10.54,20,1156,1011,496,316,69.39,4361,3026,0.69,0.0,0.2,21,0,CORDOBA
228,228,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",LA LIBERTAD AVANZA,0.95,30.91,22.98,33.43,11.73,733,23892,17762,25833,9063,77.44,101205,78378,0.76,0.0,0.64,593,2,CORDOBA
229,229,CORDOBA_TOTORAL,"Totoral, Cordoba",LA LIBERTAD AVANZA,0.58,26.77,25.64,36.04,10.97,84,3868,3704,5207,1585,77.74,18824,14633,0.81,0.01,0.44,119,2,CORDOBA
230,230,CORDOBA_TULUMBA,"Tulumba, Cordoba",HACEMOS POR NUESTRO PAIS,0.75,36.96,21.35,28.07,12.86,67,3293,1902,2501,1146,69.89,12884,9005,0.7,0.0,0.37,63,0,CORDOBA
231,231,CORDOBA_UNION,"Union, Cordoba",LA LIBERTAD AVANZA,1.07,22.99,24.52,35.51,15.92,750,16164,17239,24965,11192,73.92,96572,71390,0.9,0.02,0.59,645,12,CORDOBA
257,257,ENTRE RIOS_COLON,"Colon, Entre Rios",LA LIBERTAD AVANZA,1.8,7.07,29.4,31.75,29.98,775,3046,12670,13681,12917,75.72,60162,45556,4.24,0.21,0.96,1933,96,ENTRE RIOS
258,258,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",UNION POR LA PATRIA,1.66,4.68,26.24,29.07,38.34,1800,5065,28380,31451,41478,76.07,149398,113650,3.63,0.11,1.08,4123,127,ENTRE RIOS
259,259,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",LA LIBERTAD AVANZA,1.05,6.37,32.41,33.69,26.47,321,1944,9894,10284,8081,74.26,43511,32312,4.42,0.13,0.99,1428,41,ENTRE RIOS
260,260,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",JUNTOS POR EL CAMBIO,1.23,3.39,34.63,32.23,28.53,609,1683,17198,16004,14166,82.35,64022,52723,4.66,0.15,1.01,2455,78,ENTRE RIOS
261,261,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",UNION POR LA PATRIA,0.68,3.01,28.66,24.78,42.87,123,546,5199,4494,7777,78.9,24431,19277,4.95,0.24,0.71,955,47,ENTRE RIOS
262,262,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",UNION POR LA PATRIA,0.75,2.88,27.92,21.73,46.71,76,294,2846,2215,4761,78.19,13834,10817,4.67,0.28,0.83,505,30,ENTRE RIOS
263,263,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",LA LIBERTAD AVANZA,1.62,5.83,31.22,33.24,28.08,555,1993,10665,11355,9594,76.18,48494,36944,6.53,0.12,0.87,2413,46,ENTRE RIOS
264,264,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",JUNTOS POR EL CAMBIO,1.73,4.89,32.52,31.16,29.7,1342,3787,25177,24122,22989,78.51,103113,80958,3.26,0.13,0.98,2639,107,ENTRE RIOS
265,265,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",UNION POR LA PATRIA,0.46,2.17,32.51,24.63,40.23,39,183,2736,2073,3386,71.99,12451,8963,4.72,0.08,1.29,423,7,ENTRE RIOS
266,266,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",UNION POR LA PATRIA,1.0,3.97,27.99,23.11,43.94,441,1756,12375,10217,19430,76.8,61153,46964,4.7,0.14,1.0,2209,65,ENTRE RIOS
267,267,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",UNION POR LA PATRIA,1.38,5.61,30.01,31.28,31.72,330,1343,7179,7483,7590,75.41,34847,26277,8.14,0.2,0.61,2139,52,ENTRE RIOS
268,268,ENTRE RIOS_PARANA,"Parana, Entre Rios",UNION POR LA PATRIA,1.67,6.09,31.03,29.45,31.76,3890,14186,72251,68589,73946,76.68,318471,244194,3.53,0.11,1.0,8613,272,ENTRE RIOS
269,269,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",UNION POR LA PATRIA,0.86,5.09,30.39,31.09,32.57,107,630,3762,3849,4032,79.38,17208,13659,8.33,0.21,0.82,1138,29,ENTRE RIOS
270,270,ENTRE RIOS_TALA,"Tala, Entre Rios",UNION POR LA PATRIA,1.26,4.92,31.81,28.56,33.46,224,873,5647,5070,5941,76.83,24724,18995,5.59,0.12,0.82,1062,22,ENTRE RIOS
271,271,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",UNION POR LA PATRIA,2.17,6.3,29.29,29.72,32.52,1479,4299,19975,20271,22179,76.81,92885,71349,3.17,0.24,1.0,2262,172,ENTRE RIOS
272,272,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",LA LIBERTAD AVANZA,1.17,7.24,26.08,33.46,32.07,268,1662,5989,7684,7365,75.8,33117,25104,7.27,0.47,0.77,1825,117,ENTRE RIOS
273,273,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",UNION POR LA PATRIA,1.25,4.7,28.19,28.94,36.91,381,1430,8569,8798,11218,73.16,43619,31911,3.85,0.18,0.72,1230,56,ENTRE RIOS
299,299,LA PAMPA_ATREUCO,"Atreuco, La Pampa",LA LIBERTAD AVANZA,1.45,6.75,28.48,33.14,30.18,114,531,2240,2606,2373,78.81,10147,7997,0.84,0.01,0.81,67,1,LA PAMPA
300,300,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",UNION POR LA PATRIA,6.68,6.68,15.87,34.02,36.76,117,117,278,596,644,80.2,2237,1794,0.89,0.11,1.34,16,2,LA PAMPA
301,301,LA PAMPA_CAPITAL,"Capital, La Pampa",UNION POR LA PATRIA,2.9,8.01,19.7,28.65,40.74,2115,5851,14386,20923,29748,77.39,96085,74364,0.8,0.04,0.96,598,27,LA PAMPA
302,302,LA PAMPA_CATRILO,"Catrilo, La Pampa",UNION POR LA PATRIA,1.13,4.82,17.7,37.97,38.39,64,274,1006,2158,2182,82.03,7057,5789,0.83,0.24,0.74,48,14,LA PAMPA
303,303,LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,2.27,4.49,14.07,32.98,46.19,45,89,279,654,916,73.49,2731,2007,0.7,0.0,0.5,14,0,LA PAMPA
304,304,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,1.5,7.21,24.67,37.67,28.95,127,611,2091,3193,2454,77.75,11079,8614,0.82,0.06,0.72,71,5,LA PAMPA
305,305,LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,1.64,4.64,19.03,31.59,43.09,17,48,197,327,446,71.78,1474,1058,1.13,0.38,0.66,12,4,LA PAMPA
306,306,LA PAMPA_CONHELO,"Conhelo, La Pampa",UNION POR LA PATRIA,1.6,6.73,21.03,34.94,35.7,161,678,2119,3520,3596,77.98,13150,10254,0.84,0.04,0.88,86,4,LA PAMPA
307,307,LA PAMPA_CURACO,"Curaco, La Pampa",UNION POR LA PATRIA,2.63,3.09,12.67,22.72,58.89,17,20,82,147,381,73.51,891,655,0.46,0.15,0.61,3,1,LA PAMPA
308,308,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",LA LIBERTAD AVANZA,2.12,6.98,30.94,38.29,21.66,122,402,1781,2204,1247,70.7,8308,5874,1.55,0.03,0.43,91,2,LA PAMPA
309,309,LA PAMPA_HUCAL,"Hucal, La Pampa",LA LIBERTAD AVANZA,1.55,8.62,28.28,36.03,25.52,82,456,1496,1906,1350,75.2,7227,5435,1.12,0.15,1.4,61,8,LA PAMPA
310,310,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",UNION POR LA PATRIA,1.6,6.38,22.34,32.45,37.23,3,12,42,61,70,69.85,272,190,0.0,0.0,1.05,0,0,LA PAMPA
311,311,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",UNION POR LA PATRIA,0.0,1.83,11.01,32.11,55.05,0,2,12,35,60,28.57,385,110,0.91,0.0,0.0,1,0,LA PAMPA
312,312,LA PAMPA_LOVENTUE,"Loventue, La Pampa",UNION POR LA PATRIA,2.21,5.81,19.73,30.9,41.35,137,360,1222,1914,2561,77.14,8171,6303,0.98,0.06,0.68,62,4,LA PAMPA
313,313,LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,2.6,8.17,22.41,36.35,30.47,1103,3467,9506,15417,12925,79.2,54710,43333,0.96,0.06,1.09,417,24,LA PAMPA
314,314,LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,1.7,8.26,15.72,45.6,28.73,118,573,1091,3165,1994,78.02,9080,7084,1.03,0.01,0.97,73,1,LA PAMPA
315,315,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",LA LIBERTAD AVANZA,2.23,7.11,32.23,33.4,25.03,132,420,1905,1974,1479,76.96,7799,6002,0.67,0.03,0.83,40,2,LA PAMPA
316,316,LA PAMPA_RANCUL,"Rancul, La Pampa",UNION POR LA PATRIA,1.57,6.63,23.65,32.65,35.5,103,435,1551,2141,2328,68.89,9725,6700,1.09,0.04,0.99,73,3,LA PAMPA
317,317,LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,1.27,7.43,27.35,34.98,28.97,148,865,3185,4074,3374,77.93,15241,11878,0.85,0.06,1.04,101,7,LA PAMPA
318,318,LA PAMPA_TOAY,"Toay, La Pampa",UNION POR LA PATRIA,2.54,7.11,18.09,34.75,37.52,300,840,2138,4107,4435,80.41,14923,12000,0.66,0.01,0.83,79,1,LA PAMPA
319,319,LA PAMPA_TRENEL,"Trenel, La Pampa",UNION POR LA PATRIA,0.91,6.68,17.39,33.6,41.42,36,263,685,1323,1631,79.02,5057,3996,1.08,0.03,0.35,43,1,LA PAMPA
320,320,LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,1.77,6.11,25.27,37.58,29.28,183,633,2619,3896,3035,73.96,14283,10563,0.97,0.05,0.85,102,5,LA PAMPA
461,461,SANTA FE_9 DE JULIO,"9 De Julio, Santa Fe",LA LIBERTAD AVANZA,0.96,6.29,22.44,40.9,29.4,172,1130,4029,7342,5278,67.95,26821,18226,0.78,0.08,0.65,142,14,SANTA FE
462,462,SANTA FE_BELGRANO,"Belgrano, Santa Fe",LA LIBERTAD AVANZA,1.12,13.78,27.86,36.9,20.33,333,4093,8272,10957,6038,76.85,39428,30302,1.17,0.01,0.83,354,2,SANTA FE
463,463,SANTA FE_CASEROS,"Caseros, Santa Fe",LA LIBERTAD AVANZA,1.67,13.25,29.62,33.89,21.58,899,7131,15939,18238,11612,76.0,72338,54979,1.07,0.04,1.0,587,21,SANTA FE
464,464,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",LA LIBERTAD AVANZA,1.21,14.78,29.57,35.36,19.08,1350,16537,33085,39564,21353,75.51,150951,113988,0.82,0.05,0.97,933,60,SANTA FE
465,465,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",UNION POR LA PATRIA,2.12,11.01,24.6,30.63,31.65,1229,6378,14256,17747,18339,77.09,76806,59210,1.01,0.05,1.07,599,27,SANTA FE
466,466,SANTA FE_GARAY,"Garay, Santa Fe",LA LIBERTAD AVANZA,0.99,5.35,25.29,36.1,32.26,133,716,3381,4827,4314,68.51,19909,13639,0.87,0.07,1.03,118,9,SANTA FE
467,467,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",LA LIBERTAD AVANZA,1.51,10.83,29.94,36.14,21.58,1856,13354,36915,44550,26609,75.25,166983,125654,0.95,0.01,0.93,1193,12,SANTA FE
468,468,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",LA LIBERTAD AVANZA,1.06,7.21,24.83,34.42,32.48,1185,8056,27734,38440,36272,73.72,154178,113662,0.76,0.05,0.94,859,52,SANTA FE
469,469,SANTA FE_IRIONDO,"Iriondo, Santa Fe",LA LIBERTAD AVANZA,1.66,12.75,25.82,35.16,24.61,744,5710,11564,15749,11021,76.39,59844,45716,1.11,0.0,0.92,507,0,SANTA FE
470,470,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",LA LIBERTAD AVANZA,1.84,8.15,27.81,31.56,30.63,5661,25068,85542,97083,94217,68.67,457995,314516,0.83,0.08,1.3,2615,255,SANTA FE
471,471,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",LA LIBERTAD AVANZA,1.14,10.16,29.81,41.75,17.15,766,6852,20094,28144,11560,75.56,91062,68809,0.95,0.07,1.0,655,48,SANTA FE
472,472,SANTA FE_ROSARIO,"Rosario, Santa Fe",UNION POR LA PATRIA,2.56,7.16,26.82,28.9,34.56,19504,54449,203995,219820,262897,73.77,1056533,779396,0.92,0.06,1.42,7157,502,SANTA FE
473,473,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",LA LIBERTAD AVANZA,1.02,12.83,25.91,35.07,25.18,416,5221,10545,14275,10249,68.35,60559,41392,0.79,0.08,0.79,325,35,SANTA FE
474,474,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",UNION POR LA PATRIA,0.9,7.61,24.38,30.91,36.21,166,1410,4519,5728,6710,67.91,27930,18966,1.05,0.01,1.22,200,1,SANTA FE
475,475,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",LA LIBERTAD AVANZA,1.37,10.55,26.71,34.1,27.27,688,5278,13367,17065,13648,72.8,70210,51110,1.1,0.03,0.96,562,13,SANTA FE
476,476,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",LA LIBERTAD AVANZA,0.93,10.13,27.75,37.37,23.82,246,2680,7342,9888,6304,72.31,37293,26968,0.75,0.01,1.12,202,3,SANTA FE
477,477,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",LA LIBERTAD AVANZA,2.1,9.37,22.06,36.75,29.72,2489,11091,26104,43498,35170,77.0,157360,121169,0.94,0.17,1.21,1145,202,SANTA FE
478,478,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",LA LIBERTAD AVANZA,1.04,14.67,27.5,37.92,18.87,425,5984,11214,15461,7693,75.44,55164,41618,0.79,0.0,1.23,327,1,SANTA FE
479,479,SANTA FE_VERA,"Vera, Santa Fe",UNION POR LA PATRIA,0.95,6.77,22.21,30.91,39.16,291,2067,6780,9437,11957,67.12,46430,31166,1.0,0.04,0.99,311,14,SANTA FE
