,distrito_nombre1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PAMPEANA,1.93,13.22,26.67,31.78,26.4,152311,1040907,2099406,2501776,2078811,1.97,0.09,0.9,159664,7440,73169,10706026,8113484,75.78
1,RESTO DEL PAIS,3.03,4.04,22.63,29.22,41.08,557621,743408,4167746,5382560,7567172,2.08,0.12,0.8,394497,22492,151695,24704054,18987191,76.86
