,distrito_nombre1,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,NEA,41.53,58.47,955462,1345422,0.59,0.04,0.77,13866,856,17947,2930244,2333553,79.64
1,RESTO DEL PAIS,52.4,47.6,11947839,10853019,1.24,0.05,1.28,291363,12527,300259,28890695,23405007,81.01
