elecciones,PATAGONIA,RESTO DEL PAIS,tipovoto
PASO 2011,77.16,77.11,PARTICIPACION
GENERALES 2011,78.76,78.95,PARTICIPACION
PASO 2015,73.9,72.62,PARTICIPACION
GENERALES 2015,79.87,79.41,PARTICIPACION
BALLOTAGE 2015,79.59,80.96,PARTICIPACION
PASO 2019,74.31,73.96,PARTICIPACION
GENERALES 2019,79.75,80.93,PARTICIPACION
PASO 2023,70.19,67.69,PARTICIPACION
GENERALES 2023,76.13,76.56,PARTICIPACION
BALLOTAGE 2023,75.07,75.89,PARTICIPACION
