elecciones,NOA,RESTO DEL PAIS,tipovoto
PASO 2011,1.16,1.19,VOTO NULO
GENERALES 2011,0.79,0.94,VOTO NULO
PASO 2015,0.98,1.08,VOTO NULO
GENERALES 2015,0.69,0.76,VOTO NULO
BALLOTAGE 2015,0.9,1.28,VOTO NULO
PASO 2019,1.22,1.21,VOTO NULO
GENERALES 2019,0.87,0.87,VOTO NULO
PASO 2023,1.13,1.23,VOTO NULO
GENERALES 2023,0.81,0.83,VOTO NULO
BALLOTAGE 2023,1.18,1.7,VOTO NULO
