,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,NEA,51.96,48.04,1274472,1178438,0.95,0.04,1.08,23776,889,26936,3402401,2504511,73.61
1,RESTO DEL PAIS,56.08,43.92,13201990,10337704,1.62,0.06,1.69,393739,13557,411745,32017883,24358735,76.08
