,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PATAGONIA,57.51,42.49,843688,623393,1.28,0.05,2.81,19537,779,42935,2038437,1530332,75.07
1,RESTO DEL PAIS,55.59,44.41,13632774,10892749,1.57,0.05,1.56,397978,13667,395746,33381847,25332914,75.89
