,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
118,118.0,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",CAMBIEMOS,61.09,38.91,22901,14584,80.55,47538,38292,1.05,0.03,1.03,401,10,396,BUENOS AIRES
120,120.0,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",CAMBIEMOS,55.98,44.02,4174,3282,84.1,9007,7575,1.06,0.0,0.51,80,0,39,BUENOS AIRES
121,121.0,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",CAMBIEMOS,57.08,42.92,45665,34338,81.07,101475,82268,1.37,0.04,1.33,1131,36,1098,BUENOS AIRES
122,122.0,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",CAMBIEMOS,56.05,43.95,3703,2904,82.16,8149,6695,0.66,0.03,0.63,44,2,42,BUENOS AIRES
124,124.0,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",CAMBIEMOS,60.92,39.08,884,567,85.12,1734,1476,0.34,0.14,1.22,5,2,18,BUENOS AIRES
125,125.0,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",CAMBIEMOS,65.78,34.22,5617,2922,80.66,10835,8740,1.11,0.03,1.16,97,3,101,BUENOS AIRES
126,126.0,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",CAMBIEMOS,59.43,40.57,16885,11528,78.83,36833,29037,1.31,0.01,0.83,380,3,241,BUENOS AIRES
127,127.0,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",CAMBIEMOS,52.78,47.22,20562,18395,79.1,50366,39839,1.17,0.02,1.02,468,8,406,BUENOS AIRES
129,129.0,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",FRENTE PARA LA VICTORIA,47.39,52.61,2465,2737,82.75,6372,5273,0.64,0.02,0.68,34,1,36,BUENOS AIRES
130,130.0,BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",CAMBIEMOS,59.32,40.68,14329,9825,81.71,30147,24633,1.31,0.03,0.6,322,8,149,BUENOS AIRES
132,132.0,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",CAMBIEMOS,52.55,47.45,10496,9479,76.42,26816,20493,1.17,0.01,1.35,240,2,276,BUENOS AIRES
133,133.0,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",CAMBIEMOS,65.84,34.16,11784,6115,80.32,22808,18320,0.94,0.02,1.34,173,3,245,BUENOS AIRES
209,205.0,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",CAMBIEMOS,67.38,32.62,25293,12246,80.53,47907,38580,1.04,0.05,1.61,400,21,620,CORDOBA
210,206.0,CORDOBA_CAPITAL,"Capital, Cordoba",CAMBIEMOS,74.89,25.11,621106,208261,79.39,1074495,853021,1.07,0.07,1.64,9122,555,13977,CORDOBA
211,207.0,CORDOBA_COLON,"Colon, Cordoba",CAMBIEMOS,75.69,24.31,121686,39092,80.11,205752,164829,0.89,0.04,1.53,1469,68,2514,CORDOBA
