,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
135,CATAMARCA_AMBATO,"Ambato, Catamarca",Alianza Frente para la Victoria,0.59,2.81,1.98,1.82,74.22,17.65,0.93,19,91,64,59,2401,571,30,77.07,4279,3298,1.61,0.0,0.3,53,0,10,CATAMARCA
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",Alianza Frente para la Victoria,0.0,1.55,0.43,3.53,62.69,30.88,0.93,0,25,7,57,1013,499,15,74.43,2221,1653,2.0,0.06,0.18,33,1,3,CATAMARCA
137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",Alianza Frente para la Victoria,0.13,6.59,3.5,3.3,65.22,19.11,2.15,12,608,323,304,6017,1763,198,74.34,12665,9415,1.35,0.03,0.64,127,3,60,CATAMARCA
138,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",Alianza Frente para la Victoria,0.0,1.76,1.76,1.76,66.72,26.39,1.61,0,12,12,12,455,180,11,69.33,1014,703,1.71,0.28,1.0,12,2,7,CATAMARCA
139,CATAMARCA_BELEN,"Belen, Catamarca",Alianza Frente para la Victoria,0.03,2.81,2.25,1.17,69.47,23.27,1.0,4,392,315,164,9707,3251,140,75.4,18916,14262,1.57,0.03,0.43,224,4,61,CATAMARCA
140,CATAMARCA_CAPAYAN,"Capayan, Catamarca",Alianza Frente para la Victoria,0.45,1.95,1.86,1.23,80.98,12.67,0.85,37,160,152,101,6635,1038,70,77.22,10778,8323,1.14,0.02,0.4,95,2,33,CATAMARCA
141,CATAMARCA_CAPITAL,"Capital, Catamarca",Alianza Frente para la Victoria,3.47,6.83,3.06,1.67,68.79,14.85,1.33,2738,5397,2421,1319,54342,11732,1053,75.49,107205,80931,1.43,0.05,0.9,1160,44,725,CATAMARCA
142,CATAMARCA_EL ALTO,"El Alto, Catamarca",Alianza Frente para la Victoria,0.0,2.06,1.29,0.77,71.81,23.51,0.56,0,48,30,18,1671,547,13,71.0,3393,2409,1.99,0.79,0.62,48,19,15,CATAMARCA
143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",Alianza Frente para la Victoria,3.26,3.3,1.77,0.99,72.87,17.03,0.77,230,233,125,70,5139,1201,54,81.43,8836,7195,1.36,0.01,0.61,98,1,44,CATAMARCA
144,CATAMARCA_LA PAZ,"La Paz, Catamarca",Alianza Frente para la Victoria,0.0,2.39,2.24,0.96,76.34,17.22,0.85,0,261,245,105,8340,1881,93,72.87,15321,11165,1.63,0.01,0.51,182,1,57,CATAMARCA
145,CATAMARCA_PACLIN,"Paclin, Catamarca",Alianza Frente para la Victoria,0.0,2.78,0.76,2.67,69.65,23.47,0.68,0,70,19,67,1751,590,17,79.18,3242,2567,1.6,0.0,0.47,41,0,12,CATAMARCA
146,CATAMARCA_POMAN,"Poman, Catamarca",Alianza Frente para la Victoria,0.0,3.03,2.13,1.16,70.52,22.33,0.83,0,165,116,63,3840,1216,45,77.61,7186,5577,1.92,0.02,0.43,107,1,24,CATAMARCA
147,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",Alianza Frente para la Victoria,0.02,6.7,3.94,1.48,62.0,24.57,1.28,2,819,482,181,7578,3003,157,74.27,16780,12463,1.24,0.0,0.7,154,0,87,CATAMARCA
148,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",Alianza Frente para la Victoria,0.02,3.39,2.44,1.26,78.78,13.31,0.81,1,225,162,84,5234,884,54,76.23,8890,6777,1.31,0.03,0.62,89,2,42,CATAMARCA
149,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",Alianza Frente para la Victoria,0.09,3.8,2.36,0.93,63.78,27.91,1.11,10,407,253,100,6827,2988,119,71.56,15292,10943,1.36,0.05,0.77,149,6,84,CATAMARCA
