elecciones,NEA,RESTO DEL PAIS,tipovoto
PASO 2011,2.08,3.83,VOTO EN BLANCO
GENERALES 2011,2.02,3.12,VOTO EN BLANCO
PASO 2015,2.69,4.43,VOTO EN BLANCO
GENERALES 2015,2.59,2.34,VOTO EN BLANCO
BALLOTAGE 2015,0.59,1.24,VOTO EN BLANCO
PASO 2019,3.08,3.07,VOTO EN BLANCO
GENERALES 2019,1.03,1.55,VOTO EN BLANCO
PASO 2023,3.47,4.92,VOTO EN BLANCO
GENERALES 2023,1.61,2.09,VOTO EN BLANCO
BALLOTAGE 2023,0.95,1.62,VOTO EN BLANCO
