,distrito_nombre1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,3.85,3.2,26.1,23.35,43.51,355076,294746,2406336,2152922,4012045,2.3,0.12,0.64,218348,11784,60476,12279294,9511733,77.46
1,INTERIOR,2.08,8.73,22.62,33.57,33.0,354856,1489569,3860816,5731414,5633938,1.91,0.1,0.93,335813,18148,164388,23130786,17588942,76.04
