elecciones,PAMPEANA,RESTO DEL PAIS,tipovoto
PASO 2011,76.26,77.5,PARTICIPACION
GENERALES 2011,77.71,79.43,PARTICIPACION
PASO 2015,71.39,73.27,PARTICIPACION
GENERALES 2015,79.66,79.33,PARTICIPACION
BALLOTAGE 2015,79.94,81.31,PARTICIPACION
PASO 2019,73.27,74.3,PARTICIPACION
GENERALES 2019,80.24,81.15,PARTICIPACION
PASO 2023,67.99,67.77,PARTICIPACION
GENERALES 2023,75.78,76.86,PARTICIPACION
BALLOTAGE 2023,75.13,76.15,PARTICIPACION
