,distrito_nombre1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,NOA,1.74,5.05,13.96,34.31,44.93,58331,169302,467605,1149178,1504815,1.79,0.13,0.81,61663,4414,27892,4461378,3443200,77.18
1,RESTO DEL PAIS,2.84,7.04,25.28,29.36,35.49,651601,1615013,5799547,6735158,8141168,2.08,0.11,0.83,492498,25518,196972,30948702,23657475,76.44
