,distrito_nombre1,Alianza Compromiso Federal                                                                          _perc,Alianza Frente Amplio Progresista                                                                   _perc,Alianza Frente Popular                                                                              _perc,Alianza Frente de Izquierda y de los Trabajadores                                                   _perc,Alianza Frente para la Victoria                                                                     _perc,Alianza Unión para el Desarrollo Social                                                             _perc,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _perc,Alianza Compromiso Federal                                                                          _votos,Alianza Frente Amplio Progresista                                                                   _votos,Alianza Frente Popular                                                                              _votos,Alianza Frente de Izquierda y de los Trabajadores                                                   _votos,Alianza Frente para la Victoria                                                                     _votos,Alianza Unión para el Desarrollo Social                                                             _votos,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PAMPEANA,7.79,25.04,5.44,2.03,45.03,12.98,1.69,514978,1655550,359452,134042,2977126,857910,111980,3.14,0.06,0.89,216692,4409,61034,8870661,6893173,77.71
1,RESTO DEL PAIS,8.06,13.24,6.09,2.44,57.93,10.33,1.91,1199407,1968968,905157,363040,8615897,1537146,284191,2.98,0.13,0.94,462032,19512,144996,19513614,15500346,79.43
