,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
496,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,11.4,0.57,0.31,76.27,0.12,0.38,7.85,0.17,0.05,0.13,2.75,933,47,25,6244,10,31,643,14,4,11,225,66.06,12600,8323,1.37,0.0,0.26,114,0,22,SANTIAGO DEL ESTERO
497,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,7.39,0.31,0.26,86.42,0.16,0.28,4.45,0.2,0.08,0.11,0.34,677,28,24,7919,15,26,408,18,7,10,31,57.71,16088,9285,1.04,0.06,0.2,97,6,19,SANTIAGO DEL ESTERO
498,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,15.5,0.41,0.57,70.11,0.13,0.41,11.9,0.21,0.21,0.21,0.34,598,16,22,2705,5,16,459,8,8,8,13,49.59,7917,3926,1.2,0.0,0.53,47,0,21,SANTIAGO DEL ESTERO
499,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.1,0.58,1.31,77.03,0.26,0.67,10.86,0.35,0.22,0.29,0.33,2306,165,372,21928,75,190,3090,101,62,82,95,65.74,44313,29130,1.66,0.01,0.61,483,3,178,SANTIAGO DEL ESTERO
500,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,33.25,1.02,0.85,47.79,0.11,1.02,15.35,0.11,0.11,0.11,0.28,942,29,24,1354,3,29,435,3,3,3,8,72.29,3963,2865,1.08,0.0,0.03,31,0,1,SANTIAGO DEL ESTERO
501,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,11.48,0.96,0.71,72.75,0.47,0.7,11.25,0.33,0.16,0.13,1.05,2441,205,151,15474,100,149,2392,71,35,28,223,62.18,34881,21690,1.46,0.02,0.47,316,4,101,SANTIAGO DEL ESTERO
502,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,14.16,0.21,0.15,79.21,0.12,0.36,5.43,0.06,0.0,0.03,0.27,472,7,5,2640,4,12,181,2,0,1,9,40.5,8288,3357,0.51,0.0,0.21,17,0,7,SANTIAGO DEL ESTERO
503,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,5.48,0.3,0.41,83.59,0.33,0.56,5.09,0.24,0.15,0.44,3.41,185,10,14,2822,11,19,172,8,5,15,115,49.4,6897,3407,0.5,0.0,0.41,17,0,14,SANTIAGO DEL ESTERO
504,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,9.09,0.62,0.49,81.14,0.49,0.49,6.68,0.19,0.12,0.06,0.62,147,10,8,1312,8,8,108,3,2,1,10,53.88,3042,1639,1.1,0.06,0.18,18,1,3,SANTIAGO DEL ESTERO
505,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.47,0.36,0.63,86.51,0.11,0.31,4.82,0.18,0.07,0.27,0.27,289,16,28,3862,5,14,215,8,3,12,12,66.95,6756,4523,1.02,0.0,0.29,46,0,13,SANTIAGO DEL ESTERO
506,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,14.56,0.73,0.82,74.01,0.35,0.76,7.81,0.26,0.2,0.21,0.29,3142,158,177,15976,75,165,1685,57,44,46,62,71.17,31188,22195,2.35,0.07,0.32,521,16,71,SANTIAGO DEL ESTERO
510,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,19.05,0.66,0.63,62.42,0.51,0.64,13.63,0.37,0.18,0.25,1.65,3400,118,113,11138,91,114,2432,66,33,45,295,77.74,23553,18311,1.69,0.07,0.79,309,13,144,TUCUMAN
511,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,9.34,0.42,1.13,79.98,0.22,0.71,6.76,0.46,0.29,0.17,0.52,2256,101,273,19322,54,171,1632,112,70,42,125,77.09,32351,24941,2.63,0.03,0.48,656,7,120,TUCUMAN
512,TUCUMAN_CAPITAL,"Capital, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,26.55,1.53,3.05,42.68,0.47,2.13,22.03,0.45,0.23,0.5,0.37,81027,4669,9301,130281,1447,6506,67248,1383,717,1526,1126,73.95,438089,323982,3.91,0.32,1.56,12667,1029,5055,TUCUMAN
513,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,21.45,0.9,0.91,61.02,0.29,1.08,12.91,0.77,0.23,0.19,0.25,10375,434,439,29511,140,522,6243,372,111,93,122,79.48,63465,50443,2.97,0.11,1.05,1499,54,528,TUCUMAN
514,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.78,0.67,1.68,70.11,0.29,0.89,12.06,0.4,0.18,0.27,0.66,14327,753,1888,78572,322,995,13515,447,200,306,737,79.83,146162,116682,2.86,0.15,0.95,3337,175,1108,TUCUMAN
515,TUCUMAN_FAMAILLA,"Famailla, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.33,0.74,1.42,71.25,0.41,0.76,12.75,0.48,0.2,0.37,0.3,2183,142,273,13725,79,146,2456,92,39,71,58,72.69,27737,20163,3.32,0.06,1.08,670,12,217,TUCUMAN
516,TUCUMAN_GRANEROS,"Graneros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,9.76,0.4,0.43,82.08,0.2,0.36,6.08,0.26,0.15,0.06,0.21,831,34,37,6992,17,31,518,22,13,5,18,79.19,11019,8726,2.05,0.02,0.31,179,2,27,TUCUMAN
517,TUCUMAN_LA COCHA,"La Cocha, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,14.72,0.56,0.7,71.11,0.42,0.53,9.72,0.37,0.13,0.15,1.6,1812,69,86,8754,52,65,1196,45,16,18,197,83.25,15190,12645,1.96,0.02,0.66,248,3,84,TUCUMAN
518,TUCUMAN_LEALES,"Leales, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.25,0.57,1.43,72.22,0.28,0.61,11.99,0.47,0.21,0.18,0.79,3915,197,497,25144,98,213,4176,165,72,63,275,79.4,45262,35938,2.28,0.11,0.73,821,38,264,TUCUMAN
519,TUCUMAN_LULES,"Lules, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.77,0.71,1.63,61.54,0.33,0.81,15.62,0.41,0.21,0.25,0.72,6592,265,604,22835,122,299,5796,152,79,93,267,80.34,48367,38857,3.26,0.07,1.19,1265,27,461,TUCUMAN
520,TUCUMAN_MONTEROS,"Monteros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.15,0.6,1.13,71.46,0.28,0.77,11.68,0.25,0.18,0.18,1.33,4849,238,450,28519,110,309,4661,99,72,70,531,80.8,51001,41208,2.6,0.07,0.49,1070,27,203,TUCUMAN
521,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.25,0.52,0.76,71.68,0.67,0.64,12.24,0.24,0.13,0.14,0.72,4586,196,286,26829,252,239,4580,88,50,53,269,83.63,45953,38432,2.01,0.05,0.55,773,18,213,TUCUMAN
522,TUCUMAN_SIMOCA,"Simoca, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.11,0.43,0.93,74.15,0.39,0.71,6.87,0.26,0.15,0.76,0.22,3121,89,193,15316,81,147,1420,54,31,158,45,78.49,26947,21150,1.96,0.05,0.33,414,11,70,TUCUMAN
523,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,11.67,0.37,0.86,69.38,0.2,1.23,13.15,0.29,0.34,0.21,2.3,1064,34,78,6324,18,112,1199,26,31,19,210,76.05,12432,9454,2.54,0.11,0.94,240,10,89,TUCUMAN
524,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.81,1.18,2.45,55.62,0.35,1.27,19.44,0.59,0.27,0.51,0.52,13316,882,1829,41586,264,949,14536,438,201,380,392,77.68,101557,78894,3.49,0.28,1.46,2752,218,1151,TUCUMAN
525,TUCUMAN_TRANCAS,"Trancas, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.44,0.92,0.83,66.31,0.34,2.13,12.94,0.29,0.34,0.15,0.32,1652,98,89,7095,36,228,1385,31,36,16,34,80.89,13817,11177,3.1,0.04,1.13,346,5,126,TUCUMAN
526,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,36.07,1.33,2.25,41.96,0.42,2.07,14.43,0.34,0.19,0.34,0.6,18637,688,1163,21682,219,1068,7458,178,98,174,309,81.02,66771,54101,3.28,0.12,1.08,1774,67,586,TUCUMAN
