,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
486,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,19.25,0.48,1.88,57.09,0.29,1.6,17.89,0.36,0.19,0.72,0.26,29982,754,2924,88919,446,2490,27862,558,298,1119,404,72.85,221368,161256,2.59,0.06,0.75,4182,104,1214,SANTIAGO DEL ESTERO
487,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,12.22,0.64,0.82,68.18,0.33,1.23,15.39,0.37,0.16,0.3,0.37,2486,131,166,13870,68,250,3130,75,32,61,75,72.12,28953,20881,1.91,0.01,0.65,399,3,135,SANTIAGO DEL ESTERO
488,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,9.56,0.42,0.55,81.0,0.27,1.54,6.01,0.11,0.09,0.12,0.33,1009,44,58,8550,28,163,634,12,9,13,35,53.32,20163,10751,1.49,0.02,0.32,160,2,34,SANTIAGO DEL ESTERO
489,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,4.26,0.27,0.6,87.84,0.27,0.43,5.73,0.26,0.03,0.09,0.22,249,16,35,5134,16,25,335,15,2,5,13,44.69,13200,5899,0.71,0.05,0.15,42,3,9,SANTIAGO DEL ESTERO
490,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,5.08,0.46,0.62,78.41,0.3,0.37,8.99,0.28,0.09,0.23,5.17,221,20,27,3411,13,16,391,12,4,10,225,67.94,6512,4424,1.45,0.0,0.23,64,0,10,SANTIAGO DEL ESTERO
491,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,5.51,0.5,0.47,87.89,0.36,0.28,4.31,0.18,0.09,0.11,0.3,419,38,36,6682,27,21,328,14,7,8,23,70.85,10969,7772,1.66,0.05,0.46,129,4,36,SANTIAGO DEL ESTERO
492,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.71,0.7,0.35,80.62,0.13,0.56,6.42,0.1,0.06,0.06,0.28,730,48,24,5497,9,38,438,7,4,4,19,57.15,12153,6945,1.51,0.0,0.32,105,0,22,SANTIAGO DEL ESTERO
493,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,15.88,0.63,0.73,68.54,0.36,1.77,11.3,0.24,0.06,0.08,0.4,1623,64,75,7005,37,181,1155,25,6,8,41,63.15,16520,10433,1.64,0.0,0.4,171,0,42,SANTIAGO DEL ESTERO
494,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,23.16,0.0,0.25,72.26,0.0,0.25,3.56,0.0,0.25,0.0,0.25,91,0,1,284,0,1,14,0,1,0,1,34.22,1160,397,1.01,0.0,0.0,4,0,0,SANTIAGO DEL ESTERO
495,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,14.18,0.56,0.79,74.06,0.24,0.47,8.9,0.22,0.16,0.1,0.33,2021,80,112,10553,34,67,1268,31,23,14,47,59.71,24380,14557,1.81,0.01,0.28,264,2,41,SANTIAGO DEL ESTERO
