,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
489,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.78,3.53,0.15,60.03,18.44,0.13,14.21,1.1,0.4,0.22,81,160,7,2724,837,6,645,50,18,10,77.9,5914,4607,1.13,0.0,0.37,52.0,0.0,17.0,SANTIAGO DEL ESTERO
490,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,2.68,4.3,1.7,71.58,8.47,0.52,8.58,1.65,0.17,0.34,3607,5778,2291,96245,11394,705,11543,2212,228,456,72.7,188918,137334,1.01,0.26,0.82,1389.0,359.0,1127.0,SANTIAGO DEL ESTERO
491,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.84,2.72,0.74,81.64,5.02,0.23,6.23,1.17,0.2,0.21,317,469,127,14053,865,39,1072,202,34,36,69.23,25375,17568,1.25,0.07,0.7,219.0,12.0,123.0,SANTIAGO DEL ESTERO
492,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.59,0.57,0.29,90.7,3.16,0.06,3.53,0.7,0.05,0.34,68,66,33,10422,363,7,406,80,6,39,64.35,18154,11682,1.32,0.05,0.27,154.0,6.0,32.0,SANTIAGO DEL ESTERO
493,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.35,0.35,0.28,92.02,3.87,0.17,2.04,0.54,0.08,0.31,23,23,18,5993,252,11,133,35,5,20,54.11,12191,6596,0.88,0.12,0.26,58.0,8.0,17.0,SANTIAGO DEL ESTERO
494,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.95,0.61,0.32,90.8,2.87,0.32,3.45,0.29,0.13,0.26,36,23,12,3445,109,12,131,11,5,10,70.63,5451,3850,1.06,0.13,0.26,41.0,5.0,10.0,SANTIAGO DEL ESTERO
495,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.68,0.7,0.43,90.02,5.38,0.12,1.41,0.84,0.06,0.37,46,47,29,6086,364,8,95,57,4,25,71.7,9562,6856,1.17,0.01,0.2,80.0,1.0,14.0,SANTIAGO DEL ESTERO
496,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.24,1.25,0.46,85.92,4.29,0.18,5.29,0.97,0.12,0.29,117,118,43,8089,404,17,498,91,11,27,68.18,14024,9561,1.28,0.0,0.25,122.0,0.0,24.0,SANTIAGO DEL ESTERO
497,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Matara, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.57,0.65,0.31,89.07,5.1,0.08,3.33,0.49,0.12,0.28,37,42,20,5775,331,5,216,32,8,18,64.4,10226,6586,1.23,0.05,0.27,81.0,3.0,18.0,SANTIAGO DEL ESTERO
498,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.79,1.31,0.26,73.75,3.81,0.0,18.77,0.92,0.26,0.13,6,10,2,562,29,0,143,7,2,1,63.07,1251,789,2.66,0.25,0.51,21.0,2.0,4.0,SANTIAGO DEL ESTERO
