,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,NOA,50.55,49.45,1712125,1674828,0.86,0.07,1.18,29923,2559,40995,4461490,3460430,77.56
1,RESTO DEL PAIS,56.47,43.53,12764337,9841314,1.66,0.05,1.7,387592,11887,397686,30958794,23402816,75.59
