,distrito_nombre1,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,NOA,42.84,57.16,1290468,1721954,0.69,0.06,0.9,20982,1823,27705,3823166,3062932,80.12
1,RESTO DEL PAIS,52.57,47.43,11612833,10476487,1.25,0.05,1.28,284247,11560,290501,27997773,22675628,80.99
