,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
295,291.0,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE PARA LA VICTORIA,39.93,60.07,4274,6431,77.17,14022,10821,0.2,0.04,0.83,22,4,90,JUJUY
296,292.0,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE PARA LA VICTORIA,32.39,67.61,604,1261,66.46,2841,1888,0.16,0.11,0.95,3,2,18,JUJUY
297,293.0,JUJUY_SUSQUES,"Susques, Jujuy",FRENTE PARA LA VICTORIA,34.34,65.66,716,1369,72.74,2924,2127,0.28,0.05,1.65,6,1,35,JUJUY
298,294.0,JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE PARA LA VICTORIA,42.96,57.04,3193,4239,79.92,9460,7560,0.69,0.09,0.91,52,7,69,JUJUY
299,295.0,JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE PARA LA VICTORIA,42.54,57.46,1442,1948,78.87,4353,3433,0.32,0.0,0.93,11,0,32,JUJUY
300,296.0,JUJUY_YAVI,"Yavi, Jujuy",FRENTE PARA LA VICTORIA,39.6,60.4,4434,6763,70.32,16244,11422,0.43,0.01,1.53,49,1,175,JUJUY
323,319.0,LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE PARA LA VICTORIA,46.81,53.19,4114,4675,75.76,11870,8993,1.12,0.06,1.09,101,5,98,LA RIOJA
324,320.0,LA RIOJA_CAPITAL,"Capital, La Rioja",CAMBIEMOS,61.74,38.26,67024,41533,78.24,141668,110842,0.89,0.03,1.14,990,32,1263,LA RIOJA
325,321.0,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE PARA LA VICTORIA,45.34,54.66,1551,1870,80.9,4387,3549,2.25,0.45,0.9,80,16,32,LA RIOJA
326,322.0,LA RIOJA_CHAMICAL,"Chamical, La Rioja",CAMBIEMOS,54.6,45.4,4628,3848,74.13,11647,8634,1.16,0.02,0.65,100,2,56,LA RIOJA
327,323.0,LA RIOJA_CHILECITO,"Chilecito, La Rioja",CAMBIEMOS,62.39,37.61,17779,10719,77.74,37552,29194,1.61,0.01,0.76,471,3,222,LA RIOJA
328,324.0,LA RIOJA_FAMATINA,"Famatina, La Rioja",CAMBIEMOS,54.18,45.82,2202,1862,81.11,5099,4136,1.35,0.0,0.39,56,0,16,LA RIOJA
329,325.0,LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE PARA LA VICTORIA,44.43,55.57,2962,3704,78.4,8699,6820,1.6,0.01,0.65,109,1,44,LA RIOJA
330,326.0,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE PARA LA VICTORIA,37.81,62.19,684,1125,74.14,2486,1843,1.09,0.0,0.76,20,0,14,LA RIOJA
331,327.0,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",CAMBIEMOS,55.65,44.35,2438,1943,70.4,6337,4461,1.12,0.0,0.67,50,0,30,LA RIOJA
332,328.0,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE PARA LA VICTORIA,41.19,58.81,549,784,80.89,1664,1346,0.3,0.0,0.67,4,0,9,LA RIOJA
333,329.0,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE PARA LA VICTORIA,33.59,66.41,1451,2869,74.35,5890,4379,0.71,0.02,0.62,31,1,27,LA RIOJA
334,330.0,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE PARA LA VICTORIA,41.72,58.28,1179,1647,74.08,3897,2887,1.11,0.0,1.0,32,0,29,LA RIOJA
335,331.0,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",FRENTE PARA LA VICTORIA,38.66,61.34,576,914,76.84,1965,1510,1.19,0.0,0.13,18,0,2,LA RIOJA
336,332.0,LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",FRENTE PARA LA VICTORIA,38.53,61.47,952,1519,73.66,3428,2525,1.19,0.0,0.95,30,0,24,LA RIOJA
337,333.0,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",FRENTE PARA LA VICTORIA,36.96,63.04,3099,5286,70.97,12032,8539,0.98,0.11,0.71,84,9,61,LA RIOJA
338,334.0,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",FRENTE PARA LA VICTORIA,47.54,52.46,1169,1290,78.07,3210,2506,0.72,0.04,1.12,18,1,28,LA RIOJA
339,335.0,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",FRENTE PARA LA VICTORIA,47.65,52.35,1087,1194,85.01,2721,2313,0.43,0.0,0.95,10,0,22,LA RIOJA
340,336.0,LA RIOJA_VINCHINA,"Vinchina, La Rioja",FRENTE PARA LA VICTORIA,39.06,60.94,648,1011,68.75,2451,1685,1.54,0.0,0.0,26,0,0,LA RIOJA
405,401.0,SALTA_ANTA,"Anta, Salta",FRENTE PARA LA VICTORIA,33.63,66.37,11290,22278,74.16,45752,33930,0.57,0.08,0.41,194,28,140,SALTA
406,402.0,SALTA_CACHI,"Cachi, Salta",FRENTE PARA LA VICTORIA,43.81,56.19,2053,2633,73.55,6481,4767,0.73,0.17,0.8,35,8,38,SALTA
407,403.0,SALTA_CAFAYATE,"Cafayate, Salta",FRENTE PARA LA VICTORIA,33.52,66.48,3065,6079,78.52,11841,9297,0.59,0.14,0.91,55,13,85,SALTA
408,404.0,SALTA_CAPITAL,"Capital, Salta",CAMBIEMOS,54.27,45.73,172449,145286,80.34,404948,325336,0.87,0.12,1.35,2822,393,4386,SALTA
409,405.0,SALTA_CERRILLOS,"Cerrillos, Salta",FRENTE PARA LA VICTORIA,47.72,52.28,11315,12398,83.17,29002,24121,0.65,0.21,0.83,156,51,201,SALTA
410,406.0,SALTA_CHICOANA,"Chicoana, Salta",FRENTE PARA LA VICTORIA,45.99,54.01,6069,7127,81.53,16401,13371,0.51,0.04,0.76,68,6,101,SALTA
411,407.0,SALTA_GENERAL GUEMES,"General Guemes, Salta",FRENTE PARA LA VICTORIA,38.32,61.68,10789,17364,79.18,36200,28662,0.6,0.06,1.12,171,18,320,SALTA
412,408.0,SALTA_GUACHIPAS,"Guachipas, Salta",FRENTE PARA LA VICTORIA,48.93,51.07,938,979,80.04,2435,1949,0.87,0.05,0.72,17,1,14,SALTA
413,409.0,SALTA_IRUYA,"Iruya, Salta",FRENTE PARA LA VICTORIA,24.89,75.11,274,827,73.02,1527,1115,0.27,0.0,0.99,3,0,11,SALTA
414,410.0,SALTA_LA CALDERA,"La Caldera, Salta",CAMBIEMOS,53.86,46.14,4225,3619,82.62,9681,7998,1.0,0.05,0.88,80,4,70,SALTA
415,411.0,SALTA_LA CANDELARIA,"La Candelaria, Salta",FRENTE PARA LA VICTORIA,38.35,61.65,1587,2551,79.16,5282,4181,0.5,0.0,0.53,21,0,22,SALTA
416,412.0,SALTA_LA POMA,"La Poma, Salta",FRENTE PARA LA VICTORIA,38.65,61.35,383,608,74.78,1364,1020,0.88,0.1,1.86,9,1,19,SALTA
417,413.0,SALTA_LA VIÑA,"La Viña, Salta",FRENTE PARA LA VICTORIA,44.58,55.42,2284,2839,78.11,6661,5203,0.73,0.0,0.81,38,0,42,SALTA
418,414.0,SALTA_LOS ANDES,"Los Andes, Salta",FRENTE PARA LA VICTORIA,36.44,63.56,1372,2393,74.14,5197,3853,0.93,0.03,1.32,36,1,51,SALTA
419,415.0,SALTA_METAN,"Metan, Salta",FRENTE PARA LA VICTORIA,47.24,52.76,11432,12767,75.84,32423,24591,0.69,0.04,0.86,170,11,211,SALTA
420,416.0,SALTA_MOLINOS,"Molinos, Salta",FRENTE PARA LA VICTORIA,34.74,65.26,1112,2089,73.73,4382,3231,0.4,0.0,0.53,13,0,17,SALTA
421,417.0,SALTA_ORAN,"Oran, Salta",FRENTE PARA LA VICTORIA,41.19,58.81,30606,43691,71.19,106110,75535,0.84,0.06,0.73,636,47,555,SALTA
422,418.0,SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",FRENTE PARA LA VICTORIA,39.29,60.71,7166,11072,77.34,23985,18550,0.84,0.06,0.79,155,11,146,SALTA
423,419.0,SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",FRENTE PARA LA VICTORIA,48.67,51.33,11906,12557,80.99,30771,24921,0.59,0.15,1.1,147,37,274,SALTA
424,420.0,SALTA_SAN CARLOS,"San Carlos, Salta",FRENTE PARA LA VICTORIA,30.45,69.55,1111,2538,73.88,5003,3696,0.62,0.03,0.62,23,1,23,SALTA
425,421.0,SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",FRENTE PARA LA VICTORIA,27.47,72.53,23518,62105,71.63,121026,86696,0.57,0.07,0.6,494,57,522,SALTA
480,476.0,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",FRENTE PARA LA VICTORIA,45.14,54.86,2403,2920,81.12,6599,5353,0.34,0.0,0.22,18,0,12,SANTIAGO DEL ESTERO
481,477.0,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",FRENTE PARA LA VICTORIA,15.81,84.19,1487,7921,78.3,12060,9443,0.26,0.0,0.11,25,0,10,SANTIAGO DEL ESTERO
482,478.0,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",FRENTE PARA LA VICTORIA,12.53,87.47,917,6399,77.9,9465,7373,0.43,0.01,0.33,32,1,24,SANTIAGO DEL ESTERO
483,479.0,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",FRENTE PARA LA VICTORIA,17.53,82.47,2306,10851,77.93,16967,13222,0.37,0.0,0.12,49,0,16,SANTIAGO DEL ESTERO
