elecciones,NEA,RESTO DEL PAIS,tipovoto
PASO 2011,76.98,77.13,PARTICIPACION
GENERALES 2011,75.16,79.32,PARTICIPACION
PASO 2015,73.31,72.62,PARTICIPACION
GENERALES 2015,79.11,79.46,PARTICIPACION
BALLOTAGE 2015,79.64,81.01,PARTICIPACION
PASO 2019,71.65,74.21,PARTICIPACION
GENERALES 2019,79.25,81.03,PARTICIPACION
PASO 2023,65.53,68.08,PARTICIPACION
GENERALES 2023,75.09,76.69,PARTICIPACION
BALLOTAGE 2023,73.61,76.08,PARTICIPACION
