,distrito_nombre1,Alianza Compromiso Federal                                                                          _perc,Alianza Frente Amplio Progresista                                                                   _perc,Alianza Frente Popular                                                                              _perc,Alianza Frente de Izquierda y de los Trabajadores                                                   _perc,Alianza Frente para la Victoria                                                                     _perc,Alianza Unión para el Desarrollo Social                                                             _perc,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _perc,Alianza Compromiso Federal                                                                          _votos,Alianza Frente Amplio Progresista                                                                   _votos,Alianza Frente Popular                                                                              _votos,Alianza Frente de Izquierda y de los Trabajadores                                                   _votos,Alianza Frente para la Victoria                                                                     _votos,Alianza Unión para el Desarrollo Social                                                             _votos,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,7.9,17.35,7.94,3.1,53.04,8.4,2.27,636030,1396822,639498,249345,4269779,676329,183029,2.86,0.05,0.68,239002,4157,57049,10223971,8351040,81.68
1,INTERIOR,8.03,16.58,4.65,1.84,54.51,12.79,1.59,1078355,2227696,625111,247737,7323244,1718727,213142,3.13,0.14,1.06,439722,19764,148981,18160304,14042479,77.33
