,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA FRENTE POPULAR                                                                              _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,MOVIMIENTO AL SOCIALISMO                                                                            _perc,MOVIMIENTO DE ACCION VECINAL                                                                        _perc,MST - NUEVA IZQUIERDA                                                                               _perc,PARTIDO POPULAR                                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA FRENTE POPULAR                                                                              _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,MOVIMIENTO AL SOCIALISMO                                                                            _votos,MOVIMIENTO DE ACCION VECINAL                                                                        _votos,MST - NUEVA IZQUIERDA                                                                               _votos,PARTIDO POPULAR                                                                                     _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,30.92,1.11,4.05,37.58,0.52,4.88,19.52,0.53,0.15,0.48,0.25,2431783,87208,318255,2955620,40883,384002,1535455,41774,11742,38059,19434,4.03,0.06,0.71,332619,4577,58277,11288035,8259688,73.17
1,INTERIOR,29.59,2.67,2.9,38.86,0.49,2.74,21.25,0.43,0.21,0.41,0.45,4164131,375096,407799,5469129,68258,385314,2990042,61195,29472,58355,63466,4.4,0.17,1.27,657204,24865,190010,20635929,14944336,72.42
