elecciones,METROPOLITANA,RESTO DEL PAIS,tipovoto
PASO 2011,78.74,76.2,PARTICIPACIÓN
GENERALES 2011,81.68,77.33,PARTICIPACIÓN
PASO 2015,73.17,72.42,PARTICIPACIÓN
GENERALES 2015,78.57,79.92,PARTICIPACIÓN
BALLOTAGE 2015,82.3,80.12,PARTICIPACIÓN
PASO 2019,75.67,73.07,PARTICIPACIÓN
GENERALES 2019,82.08,80.22,PARTICIPACIÓN
PASO 2023,67.67,67.92,PARTICIPACIÓN
GENERALES 2023,77.46,76.04,PARTICIPACIÓN
BALLOTAGE 2023,76.46,75.51,PARTICIPACIÓN
