elecciones,CUYO,RESTO DEL PAIS,tipovoto
PASO 2011,77.32,77.1,PARTICIPACION
GENERALES 2011,78.73,78.95,PARTICIPACION
PASO 2015,77.33,72.33,PARTICIPACION
GENERALES 2015,81.99,79.24,PARTICIPACION
BALLOTAGE 2015,81.93,80.81,PARTICIPACION
PASO 2019,77.25,73.73,PARTICIPACION
GENERALES 2019,82.29,80.76,PARTICIPACION
PASO 2023,70.24,67.65,PARTICIPACION
GENERALES 2023,76.34,76.55,PARTICIPACION
BALLOTAGE 2023,76.46,75.79,PARTICIPACION
