,distrito_nombre1,CAMBIEMOS                                                                                           _perc,FRENTE PARA LA VICTORIA                                                                             _perc,CAMBIEMOS                                                                                           _votos,FRENTE PARA LA VICTORIA                                                                             _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PATAGONIA,41.71,58.29,565312,789957,0.98,0.04,2.11,13770,567,29567,1758084,1399173,79.59
1,RESTO DEL PAIS,51.96,48.04,12337989,11408484,1.2,0.05,1.19,291459,12816,288639,30062855,24339387,80.96
