,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
186,CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,2.24,3.24,1.44,46.01,32.65,0.87,10.42,2.49,0.29,0.35,1647,2382,1061,33841,24013,637,7667,1833,213,259,79.98,95256,76184,1.33,0.08,2.04,1017.0,61.0,1553.0,CHUBUT
187,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.14,1.3,0.78,48.14,38.01,0.46,7.95,1.6,0.39,0.23,35,40,24,1478,1167,14,244,49,12,7,68.02,4587,3120,0.77,0.0,0.83,24.0,0.0,26.0,CHUBUT
188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.83,2.33,0.87,51.35,29.87,1.15,10.02,2.15,0.2,0.23,110,140,52,3081,1792,69,601,129,12,14,74.3,8328,6188,1.07,0.02,1.96,66.0,1.0,121.0,CHUBUT
189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.63,1.23,0.42,46.88,37.07,0.18,11.63,1.16,0.49,0.32,18,35,12,1338,1058,5,332,33,14,9,65.24,4453,2905,0.72,0.0,1.03,21.0,0.0,30.0,CHUBUT
190,CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.46,0.8,0.34,43.91,35.72,0.23,17.18,0.91,0.11,0.34,4,7,3,386,314,2,151,8,1,3,60.9,1481,902,1.22,0.22,1.11,11.0,2.0,10.0,CHUBUT
375,NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.18,8.88,2.75,61.31,8.45,1.13,10.59,4.89,0.66,1.16,7,352,109,2431,335,45,420,194,26,46,75.67,5836,4416,7.54,0.0,2.67,333.0,0.0,118.0,NEUQUEN
376,NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.14,4.34,2.21,76.57,6.55,0.59,5.62,2.72,0.59,0.69,7,214,109,3777,323,29,277,134,29,34,77.62,7039,5464,6.13,1.3,2.29,335.0,71.0,125.0,NEUQUEN
377,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.93,2.68,2.37,77.92,4.23,0.72,4.75,4.75,0.31,1.34,9,26,23,755,41,7,46,46,3,13,72.48,1530,1109,10.73,0.54,1.35,119.0,6.0,15.0,NEUQUEN
378,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.28,4.91,2.64,70.28,6.24,0.7,10.8,2.87,0.49,0.8,22,387,208,5543,492,55,852,226,39,63,79.13,11133,8809,8.78,0.05,1.65,773.0,4.0,145.0,NEUQUEN
379,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.0,5.66,2.13,65.79,11.02,0.58,5.59,3.72,4.69,0.81,0,146,55,1696,284,15,144,96,121,21,79.72,3540,2822,7.37,0.11,1.17,208.0,3.0,33.0,NEUQUEN
380,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,2.62,11.01,5.83,52.16,8.74,1.53,11.46,5.48,0.47,0.7,5169,21759,11521,103068,17272,3032,22646,10832,929,1376,80.95,267936,216901,5.83,0.12,2.95,12650.0,257.0,6390.0,NEUQUEN
381,NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.07,8.44,2.46,62.08,11.35,1.07,8.67,4.74,0.54,0.57,6,676,197,4972,909,86,694,380,43,46,74.18,11427,8476,3.85,0.02,1.64,326.0,2.0,139.0,NEUQUEN
382,NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.73,12.21,4.09,45.79,12.93,1.63,13.7,7.25,0.62,1.06,113,1883,631,7065,1995,251,2113,1119,95,163,74.9,22096,16550,3.4,0.04,3.34,562.0,7.0,553.0,NEUQUEN
383,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.2,4.99,2.93,67.01,6.58,1.82,8.77,4.81,0.91,1.97,7,175,103,2352,231,64,308,169,32,69,83.72,4925,4123,12.68,0.02,2.16,523.0,1.0,89.0,NEUQUEN
384,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,1.2,12.26,3.69,40.54,16.81,2.23,13.72,7.86,0.84,0.86,60,615,185,2033,843,112,688,394,42,43,66.47,8264,5493,5.66,0.05,2.99,311.0,3.0,164.0,NEUQUEN
385,NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.73,4.98,1.73,79.31,3.76,0.4,5.41,2.4,0.33,0.95,29,199,69,3167,150,16,216,96,13,38,80.05,5723,4581,12.05,0.07,0.72,552.0,3.0,33.0,NEUQUEN
386,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.25,5.41,2.31,70.99,6.72,0.91,8.33,3.53,0.59,0.96,24,527,225,6911,654,89,811,344,57,93,73.18,15909,11642,14.56,0.09,1.73,1695.0,11.0,201.0,NEUQUEN
387,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.0,4.96,2.54,73.39,5.08,0.71,9.41,3.14,0.2,0.56,0,125,64,1848,128,18,237,79,5,14,79.18,3491,2764,6.95,0.04,1.92,192.0,1.0,53.0,NEUQUEN
388,NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,0.74,4.32,1.93,66.6,10.4,0.82,8.56,5.37,0.23,1.02,26,152,68,2343,366,29,301,189,8,36,78.27,5164,4042,10.96,0.05,1.95,443.0,2.0,79.0,NEUQUEN
389,NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,5.73,7.89,2.28,56.04,9.53,0.98,11.26,4.32,0.53,1.44,1235,1699,491,12068,2053,210,2424,930,115,310,79.34,28943,22962,4.0,0.1,2.12,918.0,22.0,487.0,NEUQUEN
390,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,2.9,3.14,1.78,78.2,4.37,0.5,4.84,2.71,0.39,1.16,75,81,46,2020,113,13,125,70,10,30,79.98,3872,3097,15.82,0.16,0.61,490.0,5.0,19.0,NEUQUEN
391,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,0.79,1.28,1.47,71.78,3.22,0.35,19.76,0.83,0.13,0.38,62,100,115,5611,252,27,1545,65,10,30,72.47,11223,8133,2.16,0.06,1.66,176.0,5.0,135.0,RIO NEGRO
392,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.72,6.19,2.37,57.1,6.45,1.34,17.74,3.31,0.3,0.47,1575,2064,789,19042,2151,446,5917,1105,101,158,77.12,45576,35149,1.49,1.61,2.02,525.0,565.0,711.0,RIO NEGRO
393,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,3.08,3.77,1.41,60.22,5.9,0.83,20.97,3.13,0.28,0.41,569,695,261,11114,1089,153,3871,578,52,75,79.73,24197,19292,2.14,0.07,2.12,413.0,13.0,409.0,RIO NEGRO
394,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,5.77,8.66,3.13,56.93,9.98,1.89,8.77,3.94,0.36,0.58,3782,5675,2053,37324,6545,1236,5752,2582,234,377,74.06,92205,68290,1.37,0.6,2.03,935.0,409.0,1386.0,RIO NEGRO
395,RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,2.52,3.3,1.0,63.11,5.52,0.3,15.85,7.49,0.24,0.68,93,122,37,2333,204,11,586,277,9,25,77.33,4922,3806,0.74,0.66,1.47,28.0,25.0,56.0,RIO NEGRO
396,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,2.66,0.81,1.85,61.67,2.09,0.81,25.52,3.3,0.32,0.97,33,10,23,766,26,10,317,41,4,12,50.0,2546,1273,1.49,0.0,0.94,19.0,0.0,12.0,RIO NEGRO
397,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,5.16,7.01,3.0,59.37,6.6,1.07,13.11,3.73,0.38,0.56,8343,11330,4854,95962,10664,1722,21195,6033,612,912,79.69,212718,169509,1.68,0.42,2.55,2853.0,713.0,4316.0,RIO NEGRO
398,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.24,0.65,0.49,78.27,1.89,0.43,15.95,0.65,0.11,0.32,23,12,9,1448,35,8,295,12,2,6,64.85,2888,1873,0.64,0.0,0.59,12.0,0.0,11.0,RIO NEGRO
399,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.7,5.21,1.25,65.21,6.84,0.96,12.89,2.33,0.32,0.3,396,439,105,5495,576,81,1086,196,27,25,79.05,10976,8676,1.46,0.02,1.39,127.0,2.0,121.0,RIO NEGRO
400,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,4.72,5.29,2.54,66.84,6.02,1.14,10.11,2.46,0.29,0.6,182,204,98,2578,232,44,390,95,11,23,74.88,5291,3962,1.14,0.0,1.51,45.0,0.0,60.0,RIO NEGRO
401,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,3.04,3.79,1.27,69.81,6.01,0.75,12.09,2.56,0.32,0.35,474,591,198,10875,936,117,1883,399,50,55,72.71,22116,16081,1.55,0.02,1.56,249.0,3.0,251.0,RIO NEGRO
402,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.5,1.98,1.39,61.3,3.04,0.81,21.94,1.87,0.48,5.69,41,54,38,1671,83,22,598,51,13,155,72.49,3842,2785,0.93,0.04,1.15,26.0,1.0,32.0,RIO NEGRO
403,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,1.7,1.92,1.7,70.93,3.39,0.45,16.97,1.47,0.34,1.13,15,17,15,627,30,4,150,13,3,10,67.01,1358,910,1.87,0.0,0.99,17.0,0.0,9.0,RIO NEGRO
455,SANTA CRUZ_CORPEN AIKE,"Corpen Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,2.82,3.89,1.17,75.98,3.75,0.48,9.26,2.23,0.19,0.24,166,229,69,4472,221,28,545,131,11,14,67.87,8978,6093,1.46,0.03,1.9,89.0,2.0,116.0,SANTA CRUZ
456,SANTA CRUZ_DESEADO,"Deseado, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,3.31,5.19,3.77,63.98,5.77,0.83,13.1,3.39,0.26,0.4,1751,2749,1994,33871,3053,442,6933,1795,139,210,74.95,74689,55981,3.04,0.06,2.34,1700.0,33.0,1311.0,SANTA CRUZ
457,SANTA CRUZ_GÜER AIKE,"Güer Aike, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,2.33,4.51,3.3,63.2,5.61,0.61,16.87,3.12,0.2,0.25,1450,2803,2054,39295,3487,378,10487,1938,126,158,75.47,85527,64549,1.74,0.09,1.84,1124.0,59.0,1190.0,SANTA CRUZ
458,SANTA CRUZ_LAGO ARGENTINO,"Lago Argentino, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,1.69,6.3,2.05,77.74,2.8,0.83,6.01,2.07,0.22,0.28,148,553,180,6819,246,73,527,182,19,25,61.5,14736,9063,1.6,0.08,1.53,145.0,7.0,139.0,SANTA CRUZ
459,SANTA CRUZ_LAGO BUENOS AIRES,"Lago Buenos Aires, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,1.55,3.72,2.46,69.08,4.51,0.6,16.3,1.24,0.14,0.41,65,156,103,2895,189,25,683,52,6,17,72.55,5950,4317,1.41,0.02,1.48,61.0,1.0,64.0,SANTA CRUZ
460,SANTA CRUZ_MAGALLANES,"Magallanes, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,1.92,4.6,2.2,69.96,3.51,0.31,15.05,1.9,0.13,0.44,88,211,101,3211,161,14,691,87,6,20,72.02,6652,4791,2.94,0.1,1.15,141.0,5.0,55.0,SANTA CRUZ
461,SANTA CRUZ_RIO CHICO,"Rio Chico, Santa Cruz",ALIANZA FRENTE PARA LA VICTORIA,1.74,3.3,2.48,74.14,2.43,0.64,12.88,1.79,0.23,0.37,38,72,54,1617,53,14,281,39,5,8,70.56,3189,2250,1.73,0.0,1.33,39.0,0.0,30.0,SANTA CRUZ
511,TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",ALIANZA FRENTE POPULAR,31.76,5.41,0.68,10.81,42.57,2.03,4.05,2.7,0.0,0.0,47,8,1,16,63,3,6,4,0,0,104.49,156,163,3.68,0.0,5.52,6.0,0.0,9.0,TIERRA DEL FUEGO
512,TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,6.11,5.49,1.72,66.62,6.43,0.44,9.91,2.73,0.23,0.32,2173,1953,613,23693,2287,156,3526,970,81,115,73.86,53249,39332,6.16,0.25,3.17,2423.0,97.0,1245.0,TIERRA DEL FUEGO
513,TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,8.34,8.94,2.29,56.36,8.35,0.81,10.43,3.83,0.28,0.37,2468,2644,678,16675,2470,239,3086,1133,83,109,70.76,46534,32928,6.33,0.86,2.96,2083.0,284.0,976.0,TIERRA DEL FUEGO
