,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
437,SAN JUAN_RAWSON,"Rawson, San Juan",ALIANZA FRENTE PARA LA VICTORIA,12.67,4.19,0.85,55.11,0.43,0.83,25.26,0.14,0.11,0.33,0.09,8276,2738,552,35991,279,544,16498,91,69,218,56,77.6,89519,69464,4.25,0.58,1.15,2953,402,797,SAN JUAN
438,SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,19.2,4.68,0.94,43.74,0.66,1.8,28.0,0.29,0.11,0.41,0.17,9264,2259,456,21105,320,868,13510,140,51,199,82,78.1,66201,51706,5.39,0.17,1.11,2786,90,576,SAN JUAN
439,SAN JUAN_SAN MARTIN,"San Martin, San Juan",ALIANZA FRENTE PARA LA VICTORIA,6.51,3.3,0.37,72.62,0.88,0.36,15.28,0.3,0.12,0.16,0.1,436,221,25,4866,59,24,1024,20,8,11,7,86.49,8615,7451,5.65,4.0,0.42,421,298,31,SAN JUAN
440,SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,15.68,5.84,0.63,45.27,0.33,1.36,30.24,0.12,0.1,0.31,0.11,4431,1649,177,12791,93,384,8545,35,29,87,32,79.14,39098,30942,5.55,2.16,0.99,1716,668,305,SAN JUAN
441,SAN JUAN_SARMIENTO,"Sarmiento, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.16,3.16,0.32,64.37,0.31,0.87,16.19,0.16,0.21,0.1,0.14,1756,392,40,7981,39,108,2007,20,26,13,17,80.26,16226,13023,3.5,0.42,0.87,456,55,113,SAN JUAN
442,SAN JUAN_ULLUM,"Ullum, San Juan",ALIANZA FRENTE PARA LA VICTORIA,6.0,0.66,0.09,79.08,0.06,3.36,10.52,0.21,0.0,0.0,0.03,200,22,3,2638,2,112,351,7,0,0,1,88.84,3872,3440,2.65,0.12,0.26,91,4,9,SAN JUAN
443,SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.18,6.16,0.17,53.23,0.05,1.3,30.69,0.1,0.05,0.07,0.0,328,247,7,2135,2,52,1231,4,2,3,0,81.27,5116,4158,2.89,0.19,0.46,120,8,19,SAN JUAN
444,SAN JUAN_ZONDA,"Zonda, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.87,3.6,0.22,67.15,0.03,0.25,19.79,0.03,0.0,0.06,0.0,286,116,7,2165,1,8,638,1,0,2,0,83.35,3983,3320,1.99,0.21,0.69,66,7,23,SAN JUAN
445,SAN LUIS_AYACUCHO,"Ayacucho, San Luis",ALIANZA COMPROMISO FEDERAL,22.13,42.63,0.54,31.13,0.15,0.35,2.69,0.14,0.0,0.11,0.11,2309,4449,56,3249,16,37,281,15,0,12,12,72.04,15843,11414,7.56,0.23,0.78,863,26,89,SAN LUIS
446,SAN LUIS_BELGRANO,"Belgrano, San Luis",ALIANZA COMPROMISO FEDERAL,10.98,58.62,0.52,16.16,1.27,0.28,2.07,0.38,0.0,9.33,0.38,233,1244,11,343,27,6,44,8,0,198,8,76.84,2880,2213,3.66,0.0,0.45,81,0,10,SAN LUIS
447,SAN LUIS_CHACABUCO,"Chacabuco, San Luis",ALIANZA COMPROMISO FEDERAL,28.76,47.97,0.69,16.8,0.08,0.6,4.69,0.16,0.0,0.14,0.11,3442,5741,82,2011,9,72,561,19,0,17,13,77.78,17850,13884,12.81,0.1,0.89,1779,14,124,SAN LUIS
448,SAN LUIS_GOBERNADOR DUPUY,"Gobernador Dupuy, San Luis",ALIANZA COMPROMISO FEDERAL,26.62,59.1,0.77,8.63,0.15,0.32,3.92,0.23,0.03,0.07,0.16,1829,4060,53,593,10,22,269,16,2,5,11,79.61,9415,7495,7.63,0.07,0.64,572,5,48,SAN LUIS
449,SAN LUIS_JUNIN,"Junin, San Luis",ALIANZA COMPROMISO FEDERAL,31.53,38.83,1.47,18.59,0.28,1.87,6.56,0.42,0.02,0.29,0.15,5205,6411,242,3069,46,308,1083,70,3,48,25,74.38,24983,18582,9.59,0.26,1.3,1782,48,242,SAN LUIS
450,SAN LUIS_GENERAL PEDERNERA,"Pedernera, San Luis",ALIANZA COMPROMISO FEDERAL,30.18,42.46,1.31,13.93,0.26,1.8,8.43,0.58,0.12,0.68,0.25,19375,27262,842,8946,164,1157,5411,375,75,438,162,72.08,98302,70859,7.77,0.1,1.52,5509,68,1075,SAN LUIS
451,SAN LUIS_CORONEL PRINGLES,"Pringles, San Luis",ALIANZA COMPROMISO FEDERAL,22.36,59.71,0.71,11.72,0.15,0.6,4.09,0.49,0.0,0.12,0.05,1797,4799,57,942,12,48,329,39,0,10,4,78.28,11603,9083,10.24,0.18,1.1,930,16,100,SAN LUIS
452,SAN LUIS_JUAN MARTIN DE PUEYRREDON,"Pueyrredon, San Luis",ALIANZA COMPROMISO FEDERAL,21.25,44.76,1.49,23.45,0.22,1.93,5.91,0.35,0.26,0.23,0.15,23618,49759,1657,26065,249,2142,6574,392,291,257,164,74.45,164776,122680,7.35,0.23,1.8,9014,285,2213,SAN LUIS
453,SAN LUIS_LIBERTADOR GENERAL SAN MARTIN,"San Martin, San Luis",ALIANZA COMPROMISO FEDERAL,6.09,68.68,0.3,22.19,0.07,0.07,2.12,0.11,0.0,0.0,0.37,164,1851,8,598,2,2,57,3,0,0,10,76.55,3927,3006,8.98,0.5,0.86,270,15,26,SAN LUIS
