elecciones,CUYO,RESTO DEL PAIS,tipovoto
PASO 2011,1.91,1.13,VOTO NULO
GENERALES 2011,2.54,0.8,VOTO NULO
PASO 2015,1.37,1.05,VOTO NULO
GENERALES 2015,1.12,0.72,VOTO NULO
BALLOTAGE 2015,1.56,1.21,VOTO NULO
PASO 2019,1.62,1.18,VOTO NULO
GENERALES 2019,1.19,0.85,VOTO NULO
PASO 2023,1.52,1.2,VOTO NULO
GENERALES 2023,1.18,0.8,VOTO NULO
BALLOTAGE 2023,1.97,1.61,VOTO NULO
