,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,PAMPEANA,42.41,1.53,2.73,28.84,2.73,21.76,3173916,114145,204382,2158082,204160,1628418,2.4,0.06,0.82,185766,4439,63768,9712742,7737076,79.66
1,RESTO DEL PAIS,30.75,1.73,3.5,40.41,2.45,21.16,5208694,293057,593649,6844160,414891,3583287,2.35,0.08,0.71,410262,13531,124895,22042032,17486426,79.33
