,distrito_nombre1,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,AMBA,34.71,0.87,4.11,35.75,3.4,21.16,3052358,76326,361818,3143901,299128,1861304,1.99,0.07,0.57,179717,6389,51547,11495865,9032488,78.57
1,INTERIOR,34.11,2.12,2.79,37.49,2.05,21.44,5330252,330876,436213,5858341,319923,3350401,2.57,0.07,0.85,416311,11581,137116,20258909,16191014,79.92
