,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
176,176,CHUBUT_BIEDMA,"Biedma, Chubut",LA LIBERTAD AVANZA,3.77,0.0,0.29,2.37,21.69,45.3,0.68,0.22,0.4,0.53,0.44,1.34,0.01,0.01,22.93,1992.0,1.0,155.0,1250.0,11450.0,23911.0,361.0,115.0,212.0,282.0,234.0,707.0,7.0,3.0,12104.0,72.14,77871,56175,3.34,0.33,2.37,1876,185,CHUBUT
177,177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",UNION POR LA PATRIA,3.94,0.0,0.34,1.32,23.0,28.97,0.92,0.23,0.43,0.39,0.37,0.94,0.0,0.0,39.15,582.0,0.0,50.0,195.0,3394.0,4274.0,136.0,34.0,63.0,57.0,54.0,139.0,0.0,0.0,5776.0,63.21,25257,15964,4.8,0.13,2.66,766,20,CHUBUT
178,178,CHUBUT_ESCALANTE,"Escalante, Chubut",LA LIBERTAD AVANZA,2.93,0.08,0.28,2.62,26.09,40.82,0.56,0.25,0.35,0.56,0.45,1.41,0.03,0.08,23.49,3198.0,86.0,301.0,2864.0,28507.0,44601.0,615.0,274.0,384.0,616.0,493.0,1544.0,38.0,84.0,25663.0,69.1,168174,116207,3.55,0.09,2.33,4122,106,CHUBUT
179,179,CHUBUT_FLORENTINO AMEGHINO,"Florentino Ameghino, Chubut",LA LIBERTAD AVANZA,1.99,0.0,0.6,1.0,17.93,49.2,0.2,0.2,0.0,0.6,0.4,0.0,0.0,0.0,27.89,10.0,0.0,3.0,5.0,90.0,247.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,140.0,35.66,1520,542,5.17,0.55,1.66,28,3,CHUBUT
180,180,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",LA LIBERTAD AVANZA,4.2,0.0,0.32,2.63,27.91,36.74,0.67,0.27,0.44,0.59,0.47,0.24,0.0,0.0,25.52,1096.0,0.0,83.0,685.0,7281.0,9582.0,175.0,70.0,114.0,155.0,122.0,63.0,0.0,1.0,6656.0,67.11,41937,28146,4.68,0.08,2.57,1316,23,CHUBUT
181,181,CHUBUT_GAIMAN,"Gaiman, Chubut",LA LIBERTAD AVANZA,2.52,0.0,0.26,1.95,26.79,44.9,0.54,0.21,0.29,0.8,0.26,0.03,0.27,0.0,21.19,167.0,0.0,17.0,129.0,1777.0,2978.0,36.0,14.0,19.0,53.0,17.0,2.0,18.0,0.0,1405.0,66.45,10641,7071,3.82,0.04,2.35,270,3,CHUBUT
182,182,CHUBUT_GASTRE,"Gastre, Chubut",LA LIBERTAD AVANZA,2.02,0.0,0.29,0.29,18.73,43.23,0.29,0.86,0.29,1.15,1.15,0.0,0.0,0.0,31.7,7.0,0.0,1.0,1.0,65.0,150.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,110.0,33.22,1132,376,6.65,0.53,0.53,25,2,CHUBUT
183,183,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",LA LIBERTAD AVANZA,2.67,0.0,0.5,1.8,21.9,41.64,1.01,0.65,0.36,0.94,0.43,0.5,0.0,0.0,27.59,37.0,0.0,7.0,25.0,304.0,578.0,14.0,9.0,5.0,13.0,6.0,7.0,0.0,0.0,383.0,57.66,2740,1580,10.38,0.0,1.77,164,0,CHUBUT
184,184,CHUBUT_MARTIRES,"Martires, Chubut",LA LIBERTAD AVANZA,3.45,0.0,0.0,0.99,28.57,36.45,0.99,1.48,0.99,0.49,0.0,0.0,0.0,0.0,26.6,7.0,0.0,0.0,2.0,58.0,74.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,54.0,36.79,647,238,2.52,11.34,0.84,6,27,CHUBUT
185,185,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",LA LIBERTAD AVANZA,1.0,0.0,0.75,1.75,25.56,42.64,2.0,1.12,0.25,0.5,0.37,0.0,0.0,0.0,24.06,8.0,0.0,6.0,14.0,205.0,342.0,16.0,9.0,2.0,4.0,3.0,0.0,0.0,0.0,193.0,53.45,1639,876,7.31,0.0,1.14,64,0,CHUBUT
