,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
411,SALTA_IRUYA,"Iruya, Salta",ALIANZA FRENTE PARA LA VICTORIA,9.19,0.19,0.74,69.45,0.09,20.33,99,2,8,748,1,219,71.38,1527,1090,0.73,0.0,0.46,8,0,5,SALTA
412,SALTA_LA CALDERA,"La Caldera, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.61,0.75,2.85,31.16,1.4,37.24,1996,56,214,2337,105,2793,81.64,9331,7618,0.83,0.04,0.67,63,3,51,SALTA
413,SALTA_LA CANDELARIA,"La Candelaria, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.73,0.66,0.68,50.77,0.85,28.3,767,27,28,2079,35,1159,78.11,5282,4126,0.46,0.15,0.15,19,6,6,SALTA
414,SALTA_LA POMA,"La Poma, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.48,1.46,2.43,45.91,0.68,38.04,118,15,25,472,7,391,77.35,1364,1055,1.42,0.0,1.14,15,0,12,SALTA
415,SALTA_LA VIÑA,"La Viña, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.44,0.67,1.83,42.86,0.58,36.63,879,34,92,2160,29,1846,79.56,6448,5130,1.13,0.06,0.57,58,3,29,SALTA
416,SALTA_LOS ANDES,"Los Andes, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.81,1.64,2.76,49.37,1.97,30.44,505,60,101,1805,72,1113,73.33,5197,3811,1.92,1.55,0.6,73,59,23,SALTA
417,SALTA_METAN,"Metan, Salta",ALIANZA FRENTE PARA LA VICTORIA,28.15,0.96,1.85,41.47,0.92,26.65,6784,232,445,9992,221,6422,74.76,32772,24501,0.97,0.06,0.62,238,14,153,SALTA
418,SALTA_MOLINOS,"Molinos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.27,1.06,1.06,60.33,0.8,21.47,475,33,33,1877,25,668,72.11,4382,3160,1.27,0.13,0.16,40,4,5,SALTA
419,SALTA_ORAN,"Oran, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.03,0.81,3.03,47.53,0.82,27.78,14947,602,2264,35460,611,20729,70.83,107166,75910,1.07,0.09,0.55,814,68,415,SALTA
420,SALTA_RIVADAVIA,"Rivadavia, Salta",ALIANZA FRENTE PARA LA VICTORIA,3.62,0.95,0.6,86.52,0.58,7.73,384,101,64,9182,62,820,66.38,16176,10737,0.77,0.21,0.17,83,23,18,SALTA
421,SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.88,0.81,1.67,49.21,0.9,26.53,3769,147,301,8882,162,4788,76.79,23886,18343,1.07,0.05,0.48,197,9,88,SALTA
